station ID = gr (Granada)
system = KASCAL
signal = 355, parallel, photoncounting, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
1.0950,6.4275e-06,3.6002e+07
1.1025,6.4166e-06,3.5722e+07
1.1100,6.4058e-06,3.5177e+07
1.1175,6.3951e-06,3.5340e+07
1.1250,6.3843e-06,3.5430e+07
1.1325,6.3736e-06,3.5433e+07
1.1400,6.3629e-06,3.5318e+07
1.1475,6.3522e-06,3.4968e+07
1.1550,6.3415e-06,3.4844e+07
1.1625,6.3309e-06,3.4874e+07
1.1700,6.3203e-06,3.5005e+07
1.1775,6.3097e-06,3.4934e+07
1.1850,6.2991e-06,3.4787e+07
1.1925,6.2885e-06,3.4808e+07
1.2000,6.2780e-06,3.4748e+07
1.2075,6.2675e-06,3.4641e+07
1.2150,6.2570e-06,3.4305e+07
1.2225,6.2465e-06,3.4679e+07
1.2300,6.2361e-06,3.4482e+07
1.2375,6.2256e-06,3.4376e+07
1.2450,6.2152e-06,3.3997e+07
1.2525,6.2048e-06,3.4284e+07
1.2600,6.1945e-06,3.4007e+07
1.2675,6.1841e-06,3.3833e+07
1.2750,6.1738e-06,3.3930e+07
1.2825,6.1635e-06,3.4131e+07
1.2900,6.1532e-06,3.4218e+07
1.2975,6.1429e-06,3.3756e+07
1.3050,6.1327e-06,3.3956e+07
1.3125,6.1224e-06,3.4128e+07
1.3200,6.1122e-06,3.3693e+07
1.3275,6.1021e-06,3.3872e+07
1.3350,6.0919e-06,3.3968e+07
1.3425,6.0818e-06,3.3760e+07
1.3500,6.0716e-06,3.3586e+07
1.3575,6.0615e-06,3.3529e+07
1.3650,6.0514e-06,3.3529e+07
1.3725,6.0414e-06,3.3527e+07
1.3800,6.0313e-06,3.2971e+07
1.3875,6.0213e-06,3.3341e+07
1.3950,6.0113e-06,3.3434e+07
1.4025,6.0013e-06,3.3347e+07
1.4100,5.9914e-06,3.2942e+07
1.4175,5.9814e-06,3.2912e+07
1.4250,5.9715e-06,3.3222e+07
1.4325,5.9616e-06,3.2857e+07
1.4400,5.9517e-06,3.2826e+07
1.4475,5.9419e-06,3.2800e+07
1.4550,5.9320e-06,3.2891e+07
1.4625,5.9222e-06,3.2787e+07
1.4700,5.9124e-06,3.2904e+07
1.4775,5.9026e-06,3.2581e+07
1.4850,5.8928e-06,3.2816e+07
1.4925,5.8831e-06,3.3012e+07
1.5000,5.8734e-06,3.2625e+07
1.5075,5.8637e-06,3.2492e+07
1.5150,5.8540e-06,3.2363e+07
1.5225,5.8443e-06,3.2826e+07
1.5300,5.8347e-06,3.2519e+07
1.5375,5.8250e-06,3.2756e+07
1.5450,5.8154e-06,3.2639e+07
1.5525,5.8058e-06,3.2196e+07
1.5600,5.7962e-06,3.2075e+07
1.5675,5.7867e-06,3.2241e+07
1.5750,5.7772e-06,3.1984e+07
1.5825,5.7676e-06,3.2017e+07
1.5900,5.7581e-06,3.2306e+07
1.5975,5.7487e-06,3.2168e+07
1.6050,5.7392e-06,3.2037e+07
1.6125,5.7298e-06,3.1801e+07
1.6200,5.7203e-06,3.2031e+07
1.6275,5.7109e-06,3.2266e+07
1.6350,5.7015e-06,3.2092e+07
1.6425,5.6922e-06,3.1626e+07
1.6500,5.6828e-06,3.1786e+07
1.6575,5.6735e-06,3.1731e+07
1.6650,5.6642e-06,3.1961e+07
1.6725,5.6549e-06,3.1694e+07
1.6800,5.6456e-06,3.1548e+07
1.6875,5.6363e-06,3.1918e+07
1.6950,5.6271e-06,3.2028e+07
1.7025,5.6179e-06,3.1490e+07
1.7100,5.6087e-06,3.1637e+07
1.7175,5.5995e-06,3.1175e+07
1.7250,5.5903e-06,3.1655e+07
1.7325,5.5812e-06,3.1426e+07
1.7400,5.5720e-06,3.1163e+07
1.7475,5.5629e-06,3.1409e+07
1.7550,5.5538e-06,3.1433e+07
1.7625,5.5448e-06,3.1411e+07
1.7700,5.5357e-06,3.1581e+07
1.7775,5.5267e-06,3.1525e+07
1.7850,5.5176e-06,3.1161e+07
1.7925,5.5086e-06,3.1267e+07
1.8000,5.4996e-06,3.0971e+07
1.8075,5.4907e-06,3.0850e+07
1.8150,5.4817e-06,3.1151e+07
1.8225,5.4728e-06,3.0988e+07
1.8300,5.4639e-06,3.0724e+07
1.8375,5.4550e-06,3.0650e+07
1.8450,5.4461e-06,3.0996e+07
1.8525,5.4372e-06,3.0676e+07
1.8600,5.4284e-06,3.1189e+07
1.8675,5.4195e-06,3.0603e+07
1.8750,5.4107e-06,3.0786e+07
1.8825,5.4019e-06,3.0636e+07
1.8900,5.3931e-06,3.1152e+07
1.8975,5.3844e-06,3.0674e+07
1.9050,5.3756e-06,3.0595e+07
1.9125,5.3669e-06,3.0801e+07
1.9200,5.3582e-06,3.0624e+07
1.9275,5.3495e-06,3.0741e+07
1.9350,5.3408e-06,3.0298e+07
1.9425,5.3321e-06,3.0986e+07
1.9500,5.3235e-06,3.0501e+07
1.9575,5.3149e-06,3.0387e+07
1.9650,5.3063e-06,3.0721e+07
1.9725,5.2977e-06,3.0342e+07
1.9800,5.2891e-06,2.9951e+07
1.9875,5.2805e-06,3.0348e+07
1.9950,5.2720e-06,3.0099e+07
2.0025,5.2634e-06,2.9942e+07
2.0100,5.2549e-06,2.9767e+07
2.0175,5.2464e-06,2.9893e+07
2.0250,5.2380e-06,3.0077e+07
2.0325,5.2295e-06,3.0157e+07
2.0400,5.2210e-06,2.9692e+07
2.0475,5.2126e-06,2.9759e+07
2.0550,5.2042e-06,2.9812e+07
2.0625,5.1958e-06,2.9871e+07
2.0700,5.1874e-06,2.9446e+07
2.0775,5.1791e-06,2.9605e+07
2.0850,5.1707e-06,2.9344e+07
2.0925,5.1624e-06,2.9189e+07
2.1000,5.1541e-06,2.9361e+07
2.1075,5.1458e-06,2.9363e+07
2.1150,5.1375e-06,2.9314e+07
2.1225,5.1292e-06,2.9001e+07
2.1300,5.1210e-06,2.9065e+07
2.1375,5.1127e-06,2.8659e+07
2.1450,5.1045e-06,2.9028e+07
2.1525,5.0963e-06,2.9476e+07
2.1600,5.0881e-06,2.9211e+07
2.1675,5.0799e-06,2.9310e+07
2.1750,5.0718e-06,2.9244e+07
2.1825,5.0636e-06,2.8743e+07
2.1900,5.0555e-06,2.8689e+07
2.1975,5.0474e-06,2.8414e+07
2.2050,5.0393e-06,2.8736e+07
2.2125,5.0312e-06,2.8526e+07
2.2200,5.0231e-06,2.8526e+07
2.2275,5.0151e-06,2.8486e+07
2.2350,5.0071e-06,2.9239e+07
2.2425,4.9990e-06,2.8314e+07
2.2500,4.9910e-06,2.7799e+07
2.2575,4.9831e-06,2.8239e+07
2.2650,4.9751e-06,2.8203e+07
2.2725,4.9671e-06,2.8165e+07
2.2800,4.9592e-06,2.8009e+07
2.2875,4.9513e-06,2.8268e+07
2.2950,4.9433e-06,2.7553e+07
2.3025,4.9355e-06,2.7632e+07
2.3100,4.9276e-06,2.8169e+07
2.3175,4.9197e-06,2.8066e+07
2.3250,4.9119e-06,2.7787e+07
2.3325,4.9040e-06,2.7783e+07
2.3400,4.8962e-06,2.7631e+07
2.3475,4.8884e-06,2.7693e+07
2.3550,4.8806e-06,2.7654e+07
2.3625,4.8728e-06,2.8035e+07
2.3700,4.8651e-06,2.7269e+07
2.3775,4.8573e-06,2.8054e+07
2.3850,4.8496e-06,2.7326e+07
2.3925,4.8419e-06,2.7078e+07
2.4000,4.8342e-06,2.7789e+07
2.4075,4.8265e-06,2.6837e+07
2.4150,4.8188e-06,2.7798e+07
2.4225,4.8111e-06,2.7378e+07
2.4300,4.8035e-06,2.7559e+07
2.4375,4.7959e-06,2.7576e+07
2.4450,4.7882e-06,2.7358e+07
2.4525,4.7806e-06,2.7398e+07
2.4600,4.7731e-06,2.6380e+07
2.4675,4.7655e-06,2.7254e+07
2.4750,4.7579e-06,2.6852e+07
2.4825,4.7504e-06,2.6834e+07
2.4900,4.7429e-06,2.6234e+07
2.4975,4.7353e-06,2.6961e+07
2.5050,4.7278e-06,2.7547e+07
2.5125,4.7204e-06,2.6689e+07
2.5200,4.7129e-06,2.6826e+07
2.5275,4.7054e-06,2.6236e+07
2.5350,4.6980e-06,2.6688e+07
2.5425,4.6906e-06,2.6634e+07
2.5500,4.6831e-06,2.6709e+07
2.5575,4.6757e-06,2.6030e+07
2.5650,4.6683e-06,2.6733e+07
2.5725,4.6610e-06,2.6832e+07
2.5800,4.6536e-06,2.6544e+07
2.5875,4.6463e-06,2.5985e+07
2.5950,4.6389e-06,2.6077e+07
2.6025,4.6316e-06,2.5966e+07
2.6100,4.6243e-06,2.6295e+07
2.6175,4.6170e-06,2.6352e+07
2.6250,4.6097e-06,2.6413e+07
2.6325,4.6025e-06,2.5602e+07
2.6400,4.5952e-06,2.5925e+07
2.6475,4.5880e-06,2.5411e+07
2.6550,4.5808e-06,2.5712e+07
2.6625,4.5736e-06,2.5660e+07
2.6700,4.5664e-06,2.6287e+07
2.6775,4.5592e-06,2.5602e+07
2.6850,4.5520e-06,2.5361e+07
2.6925,4.5449e-06,2.4853e+07
2.7000,4.5377e-06,2.5667e+07
2.7075,4.5306e-06,2.5646e+07
2.7150,4.5235e-06,2.5542e+07
2.7225,4.5164e-06,2.5498e+07
2.7300,4.5093e-06,2.5189e+07
