station ID = GR (Granada)
system = KASCAL
signal = 355, photoncounting
date of the calibration, time = 21.08.2020, 00UTC
date of the Rayleigh measurement = 21.08.2020
GR, GT, HR, HT, K, laser polarisation rotation, system rotation y = 1.000, 1.000, 0.958, -0.958, 1.000, 0.000, -1
range,ITplus45,IRplus45,ITminus45,IRminus45,ITRayleigh,IRRayleigh
5745.0000,1.8997e-01,1.4663e-01,1.8330e-01,1.7080e-01,5.8996e-01,3.1700e-01
5752.5000,2.1167e-01,1.4495e-01,2.0693e-01,1.8887e-01,5.6527e-01,2.5231e-01
5760.0000,2.2834e-01,1.6664e-01,2.1250e-01,1.8053e-01,6.3781e-01,2.9852e-01
5767.5000,1.7997e-01,1.6998e-01,2.0137e-01,1.8192e-01,6.4398e-01,2.9543e-01
5775.0000,1.7664e-01,1.5163e-01,1.7497e-01,1.6941e-01,5.8378e-01,2.7540e-01
5782.5000,1.8665e-01,1.4329e-01,1.9304e-01,1.4858e-01,5.8072e-01,2.8310e-01
5790.0000,1.8832e-01,1.5163e-01,1.6942e-01,1.6664e-01,5.5908e-01,2.9388e-01
5797.5000,1.9833e-01,1.5662e-01,2.2223e-01,1.5552e-01,6.4401e-01,2.5077e-01
5805.0000,2.1834e-01,1.4496e-01,1.5275e-01,1.5830e-01,5.7760e-01,2.7540e-01
5812.5000,1.9332e-01,1.5496e-01,1.8331e-01,1.4997e-01,6.1773e-01,2.8310e-01
5820.0000,2.0833e-01,1.5163e-01,1.8609e-01,1.6247e-01,5.2824e-01,2.5693e-01
5827.5000,1.7330e-01,1.6496e-01,1.8886e-01,1.5136e-01,5.6990e-01,2.6464e-01
5835.0000,2.0166e-01,1.5163e-01,1.9165e-01,1.5552e-01,5.3593e-01,2.7078e-01
5842.5000,1.8332e-01,1.6164e-01,1.8887e-01,1.5830e-01,6.1931e-01,2.8156e-01
5850.0000,2.2167e-01,1.5830e-01,2.0832e-01,1.6108e-01,5.2976e-01,2.5539e-01
5857.5000,1.8330e-01,1.1495e-01,1.8193e-01,1.6247e-01,5.8069e-01,2.3538e-01
5865.0000,1.7497e-01,1.4496e-01,1.9026e-01,1.7774e-01,5.2364e-01,2.5693e-01
5872.5000,2.0832e-01,1.2495e-01,1.9026e-01,1.6246e-01,5.0970e-01,2.8772e-01
5880.0000,1.9498e-01,1.6663e-01,1.4857e-01,1.4858e-01,5.2515e-01,2.2769e-01
5887.5000,1.8497e-01,1.5163e-01,1.8470e-01,1.6247e-01,5.1589e-01,2.4614e-01
5895.0000,1.9499e-01,1.3662e-01,1.9582e-01,1.4858e-01,5.4828e-01,2.3538e-01
5902.5000,1.7830e-01,1.2996e-01,1.8192e-01,1.4301e-01,5.0512e-01,2.3845e-01
5910.0000,1.8497e-01,1.5830e-01,2.2919e-01,1.6664e-01,5.0972e-01,2.5077e-01
5917.5000,1.8998e-01,1.4829e-01,1.9582e-01,1.5135e-01,5.0511e-01,2.4460e-01
5925.0000,1.7497e-01,1.5663e-01,2.2085e-01,1.3607e-01,4.9893e-01,2.1997e-01
5932.5000,1.9665e-01,1.3329e-01,2.2500e-01,1.3746e-01,4.9736e-01,2.8617e-01
5940.0000,2.0500e-01,1.3162e-01,1.7498e-01,1.3468e-01,4.9430e-01,2.3537e-01
5947.5000,1.7831e-01,1.5496e-01,1.7081e-01,1.4302e-01,4.5266e-01,2.9698e-01
5955.0000,1.7831e-01,1.1662e-01,1.7220e-01,1.4997e-01,4.4339e-01,2.4922e-01
5962.5000,1.9665e-01,1.4329e-01,1.6941e-01,1.8053e-01,4.6653e-01,2.6617e-01
5970.0000,1.7665e-01,1.4496e-01,1.9859e-01,1.5690e-01,3.9563e-01,2.1843e-01
5977.5000,1.7663e-01,1.3662e-01,1.8610e-01,1.2496e-01,4.0021e-01,2.0920e-01
5985.0000,1.6831e-01,1.5996e-01,1.7358e-01,1.5274e-01,3.9408e-01,2.3536e-01
5992.5000,1.6996e-01,1.7331e-01,1.5830e-01,1.4024e-01,3.5707e-01,2.2767e-01
6000.0000,1.6163e-01,1.5163e-01,1.6663e-01,1.4579e-01,3.3549e-01,2.3229e-01
6007.5000,1.6329e-01,1.2662e-01,1.7776e-01,1.3885e-01,2.8003e-01,2.1843e-01
6015.0000,1.6330e-01,1.4162e-01,1.7081e-01,1.2635e-01,2.8927e-01,2.1997e-01
6022.5000,1.9999e-01,1.2495e-01,1.7080e-01,1.3329e-01,2.3537e-01,2.0766e-01
6030.0000,1.7332e-01,1.2496e-01,1.7636e-01,1.3191e-01,2.4000e-01,1.6456e-01
6037.5000,1.9332e-01,1.2329e-01,1.5830e-01,1.3051e-01,2.5385e-01,1.9996e-01
6045.0000,1.8497e-01,1.3829e-01,1.8053e-01,1.8331e-01,2.1229e-01,1.9534e-01
6052.5000,1.7663e-01,1.1329e-01,1.8470e-01,1.4719e-01,2.1689e-01,2.0458e-01
6060.0000,1.9164e-01,1.6497e-01,2.1111e-01,1.4441e-01,2.8622e-01,1.9688e-01
6067.5000,1.9165e-01,1.5830e-01,1.5135e-01,1.4579e-01,2.2460e-01,2.2767e-01
6075.0000,1.4996e-01,1.4662e-01,1.5830e-01,1.4718e-01,1.4918e-01,2.1074e-01
6082.5000,1.9165e-01,1.3329e-01,1.8748e-01,1.2912e-01,1.8919e-01,2.0611e-01
6090.0000,1.6496e-01,1.3829e-01,1.7358e-01,1.1940e-01,2.0612e-01,1.5994e-01
6097.5000,1.9498e-01,1.3329e-01,1.7636e-01,1.4163e-01,1.5687e-01,2.1228e-01
6105.0000,1.8998e-01,1.2328e-01,1.6246e-01,1.2635e-01,1.3994e-01,1.9689e-01
6112.5000,1.5330e-01,1.2995e-01,1.6386e-01,1.5136e-01,1.5532e-01,1.7687e-01
6120.0000,1.8164e-01,1.4329e-01,1.8331e-01,1.5135e-01,1.4918e-01,1.8456e-01
6127.5000,1.6496e-01,1.2329e-01,1.5829e-01,1.5135e-01,1.4301e-01,1.7072e-01
6135.0000,1.6163e-01,1.1329e-01,1.4440e-01,1.1662e-01,1.4456e-01,1.6457e-01
6142.5000,1.6997e-01,1.1663e-01,1.9444e-01,1.2357e-01,1.4919e-01,1.9534e-01
6150.0000,1.7997e-01,1.2163e-01,1.6663e-01,1.3051e-01,1.1686e-01,2.0613e-01
6157.5000,1.5496e-01,1.4996e-01,1.4302e-01,1.2634e-01,1.7380e-01,2.1073e-01
6165.0000,1.7997e-01,9.6618e-02,1.8886e-01,1.2218e-01,1.2455e-01,1.8149e-01
6172.5000,1.5996e-01,9.8286e-02,1.9442e-01,1.3468e-01,1.4916e-01,1.7841e-01
6180.0000,1.8165e-01,1.0495e-01,1.6386e-01,1.2218e-01,1.6918e-01,1.6918e-01
6187.5000,1.5663e-01,1.2329e-01,1.8192e-01,1.5413e-01,1.5378e-01,2.0919e-01
6195.0000,1.5663e-01,1.2995e-01,1.6941e-01,1.2496e-01,1.5379e-01,2.0457e-01
6202.5000,1.5663e-01,1.4163e-01,1.4719e-01,1.1940e-01,1.7379e-01,1.8303e-01
6210.0000,1.8831e-01,1.3329e-01,1.5829e-01,1.4024e-01,1.4609e-01,1.6610e-01
6217.5000,1.7830e-01,1.2163e-01,1.3607e-01,1.3746e-01,1.5994e-01,1.7379e-01
6225.0000,1.7164e-01,1.0329e-01,1.7220e-01,1.0690e-01,1.6918e-01,1.9227e-01
6232.5000,1.6830e-01,9.9954e-02,1.8748e-01,1.0135e-01,1.8611e-01,1.7379e-01
6240.0000,1.7830e-01,1.4330e-01,1.6107e-01,1.2635e-01,1.5378e-01,1.8918e-01
6247.5000,1.5329e-01,1.4829e-01,1.6386e-01,1.1662e-01,1.7687e-01,1.6148e-01
6255.0000,1.4496e-01,1.1162e-01,1.3468e-01,1.0412e-01,1.7072e-01,1.6917e-01
6262.5000,1.5831e-01,1.0828e-01,1.6524e-01,1.0829e-01,1.7071e-01,1.5379e-01
6270.0000,1.8497e-01,1.0329e-01,1.4023e-01,8.8843e-02,1.6148e-01,1.9227e-01
6277.5000,1.4662e-01,1.1495e-01,1.7497e-01,1.0551e-01,1.5225e-01,1.6610e-01
6285.0000,1.7164e-01,1.2330e-01,1.5274e-01,1.1245e-01,1.5225e-01,1.6610e-01
6292.5000,1.3328e-01,1.4329e-01,1.6664e-01,1.3051e-01,1.7225e-01,1.8610e-01
6300.0000,1.3329e-01,1.0329e-01,1.6108e-01,1.2079e-01,1.6609e-01,1.6302e-01
6307.5000,1.4163e-01,1.2162e-01,1.5274e-01,1.2356e-01,1.6764e-01,1.9072e-01
6315.0000,1.7663e-01,1.0995e-01,1.4718e-01,1.2079e-01,1.8764e-01,1.8149e-01
6322.5000,1.5996e-01,1.0996e-01,1.4996e-01,1.2635e-01,1.5686e-01,1.2148e-01
6330.0000,1.5829e-01,9.6617e-02,1.5413e-01,1.3468e-01,1.3379e-01,1.4609e-01
6337.5000,1.4996e-01,1.2329e-01,1.4719e-01,9.4400e-02,1.6147e-01,1.5994e-01
6345.0000,1.5329e-01,1.0329e-01,1.4163e-01,1.3607e-01,1.2610e-01,1.6609e-01
6352.5000,1.4996e-01,1.2662e-01,1.4718e-01,1.1107e-01,1.7994e-01,1.6917e-01
6360.0000,1.5330e-01,9.4955e-02,1.5968e-01,1.2496e-01,1.4302e-01,1.6917e-01
6367.5000,1.6497e-01,9.8287e-02,1.6524e-01,1.3885e-01,1.4455e-01,1.8149e-01
6375.0000,1.4163e-01,1.2162e-01,1.7080e-01,1.0412e-01,1.5379e-01,1.5686e-01
6382.5000,1.6663e-01,1.1829e-01,1.4859e-01,1.1662e-01,1.6763e-01,1.7072e-01
6390.0000,1.3329e-01,8.4955e-02,1.6525e-01,1.0134e-01,1.3685e-01,1.7227e-01
6397.5000,1.2662e-01,9.4956e-02,1.3747e-01,1.1802e-01,1.5071e-01,1.5071e-01
6405.0000,1.4662e-01,1.0162e-01,1.3884e-01,1.1523e-01,1.5071e-01,1.9688e-01
6412.5000,1.2662e-01,1.0662e-01,1.5829e-01,1.2079e-01,1.2148e-01,1.9073e-01
6420.0000,1.2995e-01,9.9954e-02,1.4858e-01,1.0968e-01,1.6148e-01,1.6918e-01
6427.5000,1.5496e-01,1.1662e-01,1.3051e-01,1.2218e-01,1.5995e-01,1.5225e-01
6435.0000,1.1828e-01,8.3289e-02,1.4997e-01,1.1940e-01,1.4917e-01,1.7071e-01
6442.5000,1.4829e-01,1.1162e-01,1.3329e-01,1.2774e-01,1.2301e-01,1.6610e-01
6450.0000,1.4329e-01,1.0662e-01,1.3607e-01,1.1245e-01,1.1840e-01,1.6918e-01
6457.5000,1.2329e-01,1.0162e-01,1.3051e-01,1.4718e-01,1.4609e-01,1.5378e-01
6465.0000,1.4830e-01,1.1662e-01,1.2912e-01,1.2218e-01,1.3224e-01,1.9226e-01
6472.5000,1.6497e-01,1.3162e-01,1.5969e-01,1.0829e-01,1.3687e-01,1.2148e-01
6480.0000,1.2162e-01,1.0829e-01,1.4302e-01,1.0829e-01,1.5225e-01,1.6148e-01
6487.5000,1.2829e-01,7.6627e-02,1.4440e-01,1.1524e-01,1.1224e-01,1.6150e-01
6495.0000,1.6997e-01,8.3293e-02,1.2357e-01,9.5792e-02,1.3686e-01,1.8149e-01
6502.5000,1.4329e-01,1.1162e-01,1.1384e-01,1.0690e-01,1.4762e-01,1.7841e-01
6510.0000,1.2162e-01,9.6620e-02,1.4996e-01,1.0690e-01,1.0455e-01,1.4455e-01
6517.5000,1.0828e-01,9.1624e-02,1.4023e-01,8.7456e-02,1.1378e-01,1.8303e-01
6525.0000,1.1162e-01,8.4953e-02,1.3468e-01,1.0829e-01,1.2917e-01,1.4302e-01
6532.5000,1.4329e-01,1.1328e-01,1.2218e-01,1.1662e-01,1.3685e-01,1.2764e-01
6540.0000,1.2996e-01,9.8284e-02,1.3607e-01,1.1801e-01,9.8400e-02,1.3994e-01
6547.5000,1.5496e-01,7.8289e-02,1.4857e-01,1.2357e-01,1.0609e-01,1.6610e-01
6555.0000,1.1995e-01,9.3287e-02,1.3190e-01,1.1940e-01,1.0610e-01,1.8612e-01
6562.5000,1.1495e-01,8.6620e-02,1.4579e-01,1.1801e-01,1.1532e-01,1.5533e-01
6570.0000,1.6830e-01,7.6624e-02,1.1940e-01,9.8567e-02,1.1994e-01,1.4917e-01
6577.5000,1.2996e-01,8.9952e-02,1.5830e-01,1.1524e-01,1.4763e-01,1.1686e-01
6585.0000,1.4163e-01,1.0328e-01,1.2773e-01,1.2218e-01,9.8405e-02,1.3379e-01
6592.5000,1.0995e-01,8.9963e-02,1.2079e-01,1.1940e-01,1.3224e-01,1.3840e-01
6600.0000,1.3496e-01,8.8290e-02,1.2079e-01,1.0690e-01,1.1532e-01,1.1840e-01
6607.5000,1.1162e-01,8.3286e-02,1.2357e-01,1.1802e-01,1.4148e-01,1.6149e-01
6615.0000,1.3163e-01,9.1619e-02,1.1385e-01,1.1107e-01,1.1686e-01,1.5533e-01
6622.5000,1.1828e-01,1.1828e-01,1.3329e-01,8.6068e-02,1.3379e-01,1.5381e-01
6630.0000,1.3329e-01,7.6625e-02,9.4400e-02,1.0968e-01,1.4763e-01,1.4456e-01
6637.5000,1.5496e-01,8.9954e-02,1.6246e-01,1.0273e-01,1.2609e-01,1.3378e-01
6645.0000,1.2329e-01,9.6628e-02,1.4163e-01,1.1801e-01,1.4302e-01,1.2609e-01
6652.5000,1.1828e-01,9.9950e-02,1.4718e-01,1.0412e-01,1.1533e-01,1.5070e-01
6660.0000,1.2829e-01,1.1995e-01,1.1940e-01,1.0829e-01,1.0609e-01,1.3686e-01
6667.5000,1.2162e-01,9.9956e-02,1.2495e-01,8.3289e-02,1.2609e-01,1.4763e-01
6675.0000,1.4163e-01,9.3289e-02,1.3190e-01,1.0551e-01,1.3686e-01,1.6609e-01
6682.5000,1.2162e-01,7.6622e-02,1.4162e-01,8.4680e-02,1.1224e-01,1.3533e-01
6690.0000,1.2162e-01,7.9959e-02,1.1245e-01,1.1801e-01,1.3686e-01,1.1687e-01
6697.5000,1.3996e-01,9.8285e-02,1.3746e-01,9.1622e-02,1.3533e-01,1.7687e-01
6705.0000,1.1496e-01,9.4958e-02,1.2356e-01,1.0968e-01,1.0917e-01,1.3686e-01
6712.5000,1.1162e-01,9.6622e-02,1.3745e-01,7.6344e-02,1.2301e-01,1.3841e-01
6720.0000,1.1495e-01,7.8288e-02,1.2079e-01,8.4677e-02,1.3070e-01,1.6610e-01
6727.5000,1.3495e-01,9.6618e-02,1.2078e-01,9.8564e-02,1.1225e-01,1.5071e-01
6735.0000,1.1162e-01,9.3288e-02,1.3051e-01,8.7454e-02,1.2301e-01,1.4302e-01
6742.5000,1.1329e-01,9.8286e-02,1.2357e-01,1.2079e-01,9.9947e-02,1.2609e-01
6750.0000,1.1162e-01,9.3285e-02,1.3051e-01,9.5789e-02,1.3071e-01,1.3686e-01
6757.5000,1.2162e-01,9.4954e-02,1.1801e-01,1.0690e-01,1.2609e-01,1.3378e-01
6765.0000,1.3163e-01,8.8295e-02,1.1106e-01,1.0829e-01,1.0917e-01,1.1379e-01
6772.5000,1.1995e-01,9.9959e-02,1.2495e-01,9.7181e-02,1.0302e-01,1.5072e-01
6780.0000,9.9950e-02,7.9957e-02,1.2357e-01,1.0968e-01,9.6863e-02,1.3686e-01
6787.5000,1.1162e-01,1.0828e-01,1.0829e-01,9.1620e-02,1.0609e-01,1.3686e-01
6795.0000,1.1662e-01,9.1622e-02,1.1107e-01,1.1940e-01,1.1532e-01,1.4917e-01
6802.5000,1.1162e-01,1.0662e-01,1.0134e-01,8.7457e-02,1.1224e-01,1.3994e-01
6810.0000,1.3496e-01,9.8284e-02,1.2634e-01,9.0237e-02,1.0916e-01,1.3687e-01
6817.5000,9.1617e-02,9.3286e-02,1.3468e-01,1.0551e-01,1.0301e-01,1.3840e-01
6825.0000,1.5663e-01,9.8289e-02,1.1523e-01,9.9957e-02,8.1482e-02,1.0148e-01
6832.5000,1.4329e-01,8.9952e-02,1.2357e-01,8.4680e-02,1.1994e-01,1.2763e-01
6840.0000,1.1162e-01,8.9951e-02,1.0967e-01,8.3291e-02,1.0302e-01,1.4148e-01
6847.5000,1.0995e-01,8.4954e-02,9.3009e-02,8.3289e-02,9.8400e-02,1.2456e-01
6855.0000,1.0995e-01,8.1621e-02,9.5790e-02,7.9122e-02,7.9948e-02,1.1687e-01
6862.5000,1.1496e-01,9.3287e-02,8.8848e-02,9.0232e-02,9.6864e-02,1.3071e-01
6870.0000,1.2829e-01,9.9957e-02,1.2913e-01,9.5789e-02,7.9942e-02,1.4918e-01
6877.5000,1.1828e-01,1.0495e-01,9.4397e-02,1.0690e-01,1.0455e-01,1.2610e-01
6885.0000,1.2495e-01,8.1622e-02,1.2495e-01,9.7176e-02,7.5328e-02,1.4918e-01
6892.5000,1.0828e-01,8.1622e-02,1.0274e-01,8.4678e-02,7.5329e-02,1.3225e-01
6900.0000,1.1662e-01,7.1622e-02,1.0552e-01,8.8846e-02,1.0610e-01,1.3686e-01
6907.5000,1.0162e-01,6.9955e-02,1.1662e-01,8.4677e-02,1.0763e-01,1.4148e-01
6915.0000,9.6624e-02,8.6620e-02,9.7177e-02,6.9405e-02,9.2253e-02,1.0302e-01
6922.5000,1.1829e-01,9.4954e-02,1.0829e-01,8.4679e-02,9.3784e-02,1.3686e-01
6930.0000,1.2829e-01,8.4952e-02,1.1523e-01,1.0551e-01,8.3020e-02,1.4455e-01
6937.5000,1.2828e-01,6.8291e-02,1.0551e-01,8.8848e-02,9.8401e-02,8.3023e-02
6945.0000,1.3329e-01,9.1619e-02,8.7458e-02,8.7456e-02,7.9946e-02,1.2455e-01
6952.5000,9.9952e-02,1.0662e-01,9.3010e-02,7.7740e-02,8.4557e-02,1.2918e-01
6960.0000,1.1328e-01,1.0495e-01,9.8564e-02,9.8566e-02,9.0712e-02,1.2764e-01
6967.5000,1.0162e-01,9.3289e-02,1.0412e-01,8.1906e-02,8.9170e-02,1.0609e-01
6975.0000,1.0662e-01,8.8286e-02,1.1106e-01,8.1903e-02,9.6864e-02,1.4610e-01
6982.5000,8.9953e-02,8.1624e-02,9.8566e-02,9.5788e-02,9.9938e-02,1.2763e-01
6990.0000,9.4955e-02,1.0329e-01,9.9958e-02,7.7736e-02,1.1840e-01,1.3071e-01
6997.5000,1.2329e-01,8.4954e-02,1.1940e-01,8.7453e-02,9.0711e-02,1.2456e-01
7005.0000,9.4954e-02,7.9954e-02,1.2218e-01,1.0690e-01,9.3787e-02,1.0455e-01
7012.5000,1.2662e-01,1.2163e-01,1.2218e-01,9.7180e-02,9.2249e-02,1.0302e-01
7020.0000,1.0162e-01,6.1631e-02,8.7453e-02,9.9955e-02,9.3787e-02,1.0764e-01
7027.5000,1.1995e-01,9.1619e-02,1.0134e-01,1.0135e-01,7.0715e-02,9.6865e-02
7035.0000,9.3284e-02,8.1622e-02,1.0829e-01,7.7735e-02,1.0456e-01,1.1994e-01
7042.5000,9.6617e-02,6.6623e-02,7.4957e-02,7.9125e-02,8.6094e-02,1.3072e-01
7050.0000,1.2495e-01,8.9952e-02,1.0134e-01,8.4684e-02,7.9943e-02,1.0763e-01
7057.5000,1.2995e-01,9.4951e-02,9.7174e-02,8.4682e-02,9.3784e-02,1.0917e-01
7065.0000,1.1662e-01,7.8288e-02,1.2774e-01,9.0236e-02,1.0302e-01,1.1379e-01
7072.5000,1.0495e-01,8.8285e-02,9.9954e-02,7.3567e-02,7.2257e-02,1.3532e-01
7080.0000,9.8289e-02,8.8286e-02,9.7175e-02,1.0690e-01,6.4565e-02,1.1071e-01
7087.5000,1.0329e-01,8.4953e-02,1.3746e-01,6.6626e-02,8.4559e-02,1.3533e-01
7095.0000,1.0662e-01,9.3285e-02,8.3288e-02,8.0515e-02,8.6099e-02,1.0609e-01
7102.5000,1.2496e-01,7.4958e-02,1.0134e-01,8.1903e-02,6.6104e-02,1.0763e-01
7110.0000,1.0996e-01,7.1622e-02,9.4399e-02,7.6346e-02,7.0718e-02,1.2456e-01
7117.5000,7.9959e-02,7.9957e-02,1.0412e-01,6.9403e-02,8.7633e-02,1.3224e-01
7125.0000,1.1496e-01,9.3285e-02,1.0412e-01,5.6908e-02,8.3023e-02,1.0609e-01
7132.5000,1.1162e-01,8.4956e-02,9.3011e-02,7.6347e-02,6.9178e-02,1.1379e-01
7140.0000,9.3290e-02,7.6623e-02,1.1245e-01,7.6347e-02,8.3021e-02,9.6863e-02
7147.5000,1.1495e-01,6.3292e-02,1.0273e-01,8.7459e-02,8.4561e-02,1.2763e-01
7155.0000,1.0995e-01,7.8291e-02,1.1107e-01,7.3572e-02,8.4558e-02,1.0456e-01
7162.5000,9.8293e-02,1.0162e-01,1.2079e-01,7.4959e-02,8.1483e-02,1.2147e-01
7170.0000,7.6624e-02,6.8291e-02,8.8842e-02,9.5791e-02,7.0716e-02,1.0456e-01
7177.5000,9.6617e-02,8.1621e-02,9.0233e-02,8.4677e-02,8.7639e-02,1.1532e-01
7185.0000,9.9951e-02,8.8289e-02,1.1106e-01,9.0237e-02,7.6867e-02,1.2917e-01
7192.5000,8.6619e-02,1.0162e-01,1.2079e-01,8.1900e-02,9.5324e-02,1.2148e-01
7200.0000,1.0495e-01,7.4956e-02,9.7178e-02,8.7455e-02,6.9180e-02,7.9944e-02
7207.5000,1.0830e-01,6.1627e-02,1.2218e-01,9.0235e-02,9.2246e-02,9.2253e-02
7215.0000,8.6621e-02,8.6622e-02,7.3568e-02,8.0513e-02,7.5330e-02,1.1686e-01
7222.5000,1.0995e-01,7.8287e-02,9.0233e-02,7.6348e-02,7.8410e-02,1.0917e-01
7230.0000,9.4953e-02,7.9955e-02,9.3008e-02,8.1900e-02,8.4559e-02,9.2251e-02
7237.5000,7.9953e-02,6.4958e-02,9.7177e-02,6.2460e-02,7.3794e-02,1.1840e-01
7245.0000,8.6619e-02,8.3288e-02,1.0273e-01,8.4682e-02,9.0715e-02,1.3532e-01
7252.5000,1.0495e-01,8.4956e-02,8.7455e-02,7.7736e-02,7.0718e-02,9.3787e-02
7260.0000,1.1995e-01,8.8288e-02,1.0412e-01,8.0520e-02,7.0717e-02,9.8401e-02
7267.5000,1.0995e-01,7.8290e-02,7.7733e-02,8.8844e-02,8.7635e-02,1.1994e-01
7275.0000,8.4953e-02,6.6625e-02,8.8846e-02,8.1899e-02,9.0713e-02,1.1840e-01
7282.5000,1.1995e-01,8.6620e-02,8.3291e-02,7.3568e-02,7.8403e-02,1.0609e-01
7290.0000,6.6624e-02,5.8295e-02,9.1622e-02,8.1903e-02,6.4565e-02,1.0763e-01
7297.5000,1.0162e-01,9.4956e-02,9.0234e-02,8.7455e-02,7.9955e-02,8.9175e-02
7305.0000,1.0995e-01,7.6619e-02,9.7174e-02,8.1902e-02,1.0301e-01,1.1994e-01
7312.5000,1.0829e-01,8.4954e-02,9.4397e-02,7.2182e-02,7.5334e-02,1.0455e-01
7320.0000,8.6626e-02,7.6623e-02,7.3567e-02,7.4959e-02,6.4565e-02,1.0763e-01
7327.5000,8.6621e-02,8.1621e-02,1.0690e-01,9.5786e-02,6.7640e-02,9.6863e-02
7335.0000,1.0162e-01,5.4964e-02,9.7174e-02,6.6627e-02,7.3792e-02,1.0148e-01
7342.5000,7.6621e-02,6.9957e-02,1.1246e-01,7.7739e-02,7.5334e-02,1.1378e-01
7350.0000,9.3285e-02,5.9962e-02,1.0551e-01,9.0234e-02,6.3028e-02,1.0302e-01
7357.5000,1.1829e-01,7.4958e-02,8.8848e-02,6.6626e-02,6.1491e-02,8.4560e-02
7365.0000,6.8288e-02,6.8290e-02,8.0513e-02,8.6065e-02,6.7643e-02,9.0710e-02
7372.5000,7.6622e-02,7.8287e-02,9.1619e-02,9.0232e-02,7.0717e-02,8.1481e-02
7380.0000,8.8286e-02,6.8292e-02,8.8845e-02,6.1073e-02,8.4558e-02,8.9175e-02
7387.5000,9.8290e-02,8.1622e-02,1.1107e-01,7.2181e-02,6.4566e-02,8.6096e-02
7395.0000,7.3290e-02,8.8285e-02,9.9957e-02,7.3570e-02,6.6104e-02,9.3790e-02
7402.5000,8.4952e-02,9.1619e-02,8.4680e-02,5.8297e-02,6.9178e-02,9.0714e-02
7410.0000,8.1620e-02,6.8295e-02,8.3291e-02,6.6627e-02,7.2256e-02,1.0763e-01
7417.5000,7.6621e-02,6.9958e-02,7.9127e-02,7.0792e-02,8.3023e-02,9.6866e-02
7425.0000,1.0496e-01,6.9958e-02,8.6069e-02,7.9127e-02,6.1488e-02,1.0763e-01
7432.5000,9.4957e-02,8.4955e-02,8.6069e-02,6.2462e-02,7.2254e-02,1.1686e-01
7440.0000,8.8293e-02,6.8293e-02,9.3007e-02,5.8295e-02,7.5331e-02,1.1379e-01
7447.5000,1.0162e-01,5.6631e-02,7.2184e-02,6.5237e-02,5.9951e-02,8.7633e-02
7455.0000,8.4953e-02,6.8291e-02,7.9121e-02,8.3294e-02,7.8407e-02,9.0713e-02
7462.5000,8.9954e-02,5.9964e-02,8.8841e-02,7.3570e-02,6.7638e-02,8.1482e-02
7470.0000,7.9957e-02,7.1622e-02,9.1619e-02,7.9121e-02,6.9180e-02,9.3785e-02
7477.5000,7.4958e-02,4.8298e-02,9.0234e-02,9.1620e-02,7.6871e-02,9.9939e-02
7485.0000,9.4953e-02,5.4962e-02,1.0551e-01,5.5521e-02,8.1479e-02,9.2257e-02
7492.5000,9.8286e-02,5.4963e-02,7.6349e-02,7.7735e-02,8.1479e-02,1.1224e-01
7500.0000,8.6620e-02,7.8289e-02,9.9957e-02,6.9402e-02,6.9178e-02,1.0917e-01
7507.5000,1.0329e-01,7.4956e-02,8.3289e-02,8.6068e-02,7.5329e-02,9.5326e-02
7515.0000,9.4950e-02,6.6623e-02,7.9121e-02,6.8016e-02,5.3802e-02,1.0148e-01
7522.5000,1.0662e-01,5.8293e-02,9.4397e-02,6.9405e-02,7.0715e-02,7.2257e-02
7530.0000,9.3289e-02,4.8297e-02,8.3294e-02,5.5519e-02,6.9180e-02,9.9945e-02
7537.5000,9.6618e-02,8.3288e-02,1.0134e-01,9.1621e-02,7.6871e-02,9.6867e-02
7545.0000,7.3293e-02,6.8298e-02,7.3568e-02,6.9404e-02,8.7634e-02,9.3789e-02
7552.5000,7.6621e-02,5.9964e-02,7.2180e-02,7.4958e-02,7.5332e-02,6.9183e-02
7560.0000,6.1627e-02,5.4962e-02,8.7457e-02,6.8015e-02,5.9954e-02,8.4557e-02
7567.5000,8.6619e-02,4.6632e-02,8.8845e-02,6.5237e-02,6.4566e-02,7.8411e-02
7575.0000,9.1619e-02,5.9960e-02,9.7178e-02,6.3848e-02,6.7642e-02,1.1686e-01
7582.5000,8.6620e-02,7.1624e-02,6.5236e-02,6.3851e-02,5.9952e-02,8.1484e-02
7590.0000,7.3287e-02,5.4962e-02,7.6349e-02,6.9406e-02,7.0715e-02,9.0710e-02
7597.5000,8.3288e-02,4.4965e-02,8.8844e-02,6.9402e-02,5.9952e-02,7.9950e-02
7605.0000,8.9957e-02,6.9956e-02,8.1900e-02,6.6628e-02,6.9178e-02,7.8409e-02
7612.5000,8.9952e-02,7.8290e-02,8.0510e-02,5.1353e-02,6.9177e-02,1.0148e-01
7620.0000,9.6619e-02,5.8293e-02,8.6067e-02,7.4962e-02,7.5331e-02,1.1071e-01
7627.5000,1.0995e-01,4.8299e-02,6.8017e-02,7.3573e-02,7.0717e-02,8.6096e-02
7635.0000,9.6616e-02,5.4964e-02,7.7732e-02,6.2460e-02,6.7641e-02,9.3789e-02
7642.5000,8.3286e-02,6.3293e-02,8.6068e-02,7.0794e-02,7.3793e-02,8.3026e-02
7650.0000,8.1624e-02,7.9957e-02,8.4678e-02,6.9408e-02,6.7642e-02,7.9951e-02
