station ID = GR (Granada)
system = KASCAL
signal = 355, photoncounting
date of the calibration, time = 21.08.2020, 00UTC
date of the Rayleigh measurement = 21.08.2020
GR, GT, HR, HT, K, laser polarisation rotation, system rotation y = 1.000, 1.000, 0.958, -0.958, 1.000, 0.000, -1
range,ITplus45,IRplus45,ITminus45,IRminus45,ITRayleigh,IRRayleigh
427.5000,1.1235e+02,8.8970e+01,1.1251e+02,9.6599e+01,1.9641e+02,1.6959e+02
435.0000,1.0984e+02,8.7186e+01,1.1007e+02,9.3718e+01,1.9597e+02,1.6652e+02
442.5000,1.0686e+02,8.4212e+01,1.0627e+02,9.1289e+01,1.9659e+02,1.6342e+02
450.0000,1.0276e+02,8.1005e+01,1.0275e+02,8.7829e+01,1.9651e+02,1.6189e+02
457.5000,1.0030e+02,7.9500e+01,1.0123e+02,8.5953e+01,1.9763e+02,1.5992e+02
465.0000,9.8096e+01,7.7268e+01,9.7824e+01,8.3138e+01,1.9999e+02,1.5909e+02
472.5000,9.5108e+01,7.4531e+01,9.4811e+01,8.0224e+01,1.9735e+02,1.5607e+02
480.0000,9.2665e+01,7.2187e+01,9.2047e+01,7.8703e+01,1.9025e+02,1.5235e+02
487.5000,8.9984e+01,7.0632e+01,8.9225e+01,7.5394e+01,1.8741e+02,1.4917e+02
495.0000,8.7761e+01,6.8479e+01,8.7464e+01,7.3279e+01,1.8976e+02,1.4719e+02
502.5000,8.5225e+01,6.6719e+01,8.5212e+01,7.1570e+01,1.8924e+02,1.4437e+02
510.0000,8.3029e+01,6.3763e+01,8.2298e+01,6.9469e+01,1.8583e+02,1.4223e+02
517.5000,8.0497e+01,6.3166e+01,8.0111e+01,6.7732e+01,1.7745e+02,1.3674e+02
525.0000,7.7937e+01,6.1273e+01,7.8336e+01,6.6215e+01,1.6352e+02,1.3131e+02
532.5000,7.6372e+01,5.9313e+01,7.5908e+01,6.3684e+01,1.6095e+02,1.2817e+02
540.0000,7.4279e+01,5.7641e+01,7.3927e+01,6.2258e+01,1.6354e+02,1.2689e+02
547.5000,7.1795e+01,5.6440e+01,7.2274e+01,6.0652e+01,1.6468e+02,1.2551e+02
555.0000,7.1102e+01,5.5008e+01,7.0203e+01,5.9251e+01,1.6435e+02,1.2356e+02
562.5000,6.9403e+01,5.3044e+01,6.8610e+01,5.7289e+01,1.6509e+02,1.2158e+02
570.0000,6.7913e+01,5.1412e+01,6.7133e+01,5.5880e+01,1.6359e+02,1.2027e+02
577.5000,6.5041e+01,5.0634e+01,6.5010e+01,5.4511e+01,1.6089e+02,1.1757e+02
585.0000,6.3363e+01,4.9139e+01,6.3515e+01,5.2617e+01,1.5489e+02,1.1334e+02
592.5000,6.2446e+01,4.7614e+01,6.2756e+01,5.1967e+01,1.4552e+02,1.0900e+02
600.0000,6.0336e+01,4.7257e+01,6.0891e+01,4.9817e+01,1.3625e+02,1.0487e+02
607.5000,5.9424e+01,4.5412e+01,5.8869e+01,4.8858e+01,1.3163e+02,1.0267e+02
615.0000,5.7410e+01,4.4148e+01,5.7417e+01,4.8592e+01,1.2798e+02,9.9716e+01
622.5000,5.6253e+01,4.3305e+01,5.5971e+01,4.6690e+01,1.2926e+02,9.8508e+01
630.0000,5.5123e+01,4.2217e+01,5.4912e+01,4.5264e+01,1.3133e+02,9.8064e+01
637.5000,5.3711e+01,4.1847e+01,5.3436e+01,4.4722e+01,1.3311e+02,9.7162e+01
645.0000,5.3102e+01,4.0165e+01,5.2183e+01,4.3501e+01,1.3332e+02,9.6220e+01
652.5000,5.1594e+01,3.9535e+01,5.0826e+01,4.2109e+01,1.3246e+02,9.4075e+01
660.0000,5.0469e+01,3.9078e+01,4.9882e+01,4.1982e+01,1.3058e+02,9.2112e+01
667.5000,4.8913e+01,3.8124e+01,4.9022e+01,4.0619e+01,1.2723e+02,9.0536e+01
675.0000,4.8082e+01,3.6759e+01,4.7835e+01,3.9631e+01,1.2518e+02,8.8327e+01
682.5000,4.6387e+01,3.5727e+01,4.7268e+01,3.8812e+01,1.2158e+02,8.5722e+01
690.0000,4.5616e+01,3.5192e+01,4.5516e+01,3.8068e+01,1.1992e+02,8.5002e+01
697.5000,4.4663e+01,3.4399e+01,4.4709e+01,3.7114e+01,1.1645e+02,8.2309e+01
705.0000,4.3683e+01,3.3406e+01,4.3928e+01,3.6135e+01,1.1447e+02,8.0463e+01
712.5000,4.2925e+01,3.2410e+01,4.2618e+01,3.5236e+01,1.1203e+02,7.9528e+01
720.0000,4.2506e+01,3.2152e+01,4.1895e+01,3.5131e+01,1.0835e+02,7.6885e+01
727.5000,4.0513e+01,3.1680e+01,4.1206e+01,3.4164e+01,1.0637e+02,7.5378e+01
735.0000,4.0613e+01,3.0757e+01,4.0431e+01,3.3197e+01,1.0411e+02,7.4167e+01
742.5000,3.8961e+01,3.0232e+01,3.9430e+01,3.2432e+01,1.0057e+02,7.1997e+01
750.0000,3.8180e+01,2.9715e+01,3.7736e+01,3.1816e+01,9.6836e+01,7.0061e+01
757.5000,3.7389e+01,2.9351e+01,3.7184e+01,3.1084e+01,9.3725e+01,6.8670e+01
765.0000,3.6811e+01,2.8532e+01,3.7541e+01,3.0330e+01,9.0062e+01,6.6349e+01
772.5000,3.6245e+01,2.7791e+01,3.6213e+01,2.9836e+01,8.8099e+01,6.4628e+01
780.0000,3.5932e+01,2.7591e+01,3.5066e+01,2.9565e+01,8.6098e+01,6.3526e+01
787.5000,3.4931e+01,2.6338e+01,3.4603e+01,2.8776e+01,8.3917e+01,6.2256e+01
795.0000,3.3542e+01,2.6438e+01,3.3940e+01,2.8393e+01,8.2063e+01,6.0719e+01
802.5000,3.3776e+01,2.5685e+01,3.3133e+01,2.7698e+01,8.0468e+01,5.9315e+01
810.0000,3.2855e+01,2.4922e+01,3.2518e+01,2.7238e+01,7.9271e+01,5.8312e+01
817.5000,3.2349e+01,2.4741e+01,3.2104e+01,2.6662e+01,7.6645e+01,5.7557e+01
825.0000,3.1065e+01,2.4286e+01,3.1550e+01,2.5446e+01,7.5841e+01,5.5155e+01
832.5000,3.1199e+01,2.3750e+01,3.0756e+01,2.5749e+01,7.4207e+01,5.4891e+01
840.0000,3.0399e+01,2.3240e+01,3.0657e+01,2.4963e+01,7.3798e+01,5.4292e+01
