station ID = gr (Granada)
system = VELETA
signal = 355, parallel, analog, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
562.5000,9.1390e+05,8.2984e+05,9.0348e+05,1.0337e+06,355xpa
570.0000,9.0604e+05,8.3584e+05,9.0728e+05,1.0410e+06,355xpa
577.5000,9.0646e+05,8.2643e+05,9.0462e+05,1.0253e+06,355xpa
585.0000,9.0302e+05,8.2200e+05,9.0047e+05,1.0305e+06,355xpa
592.5000,8.9184e+05,8.2381e+05,8.8214e+05,1.0205e+06,355xpa
600.0000,8.9061e+05,8.1520e+05,8.8436e+05,1.0182e+06,355xpa
607.5000,8.9916e+05,8.0561e+05,8.7249e+05,1.0191e+06,355xpa
615.0000,8.8444e+05,8.1311e+05,8.6771e+05,1.0097e+06,355xpa
622.5000,8.7227e+05,7.9861e+05,8.6769e+05,9.9531e+05,355xpa
630.0000,8.5853e+05,7.9339e+05,8.6518e+05,9.9761e+05,355xpa
637.5000,8.5327e+05,7.9611e+05,8.7260e+05,9.8912e+05,355xpa
645.0000,8.5987e+05,7.8952e+05,8.5781e+05,9.9384e+05,355xpa
652.5000,8.7522e+05,8.0180e+05,8.5746e+05,9.9211e+05,355xpa
660.0000,8.5780e+05,7.9475e+05,8.4759e+05,9.8889e+05,355xpa
667.5000,8.5237e+05,7.8631e+05,8.3332e+05,9.7551e+05,355xpa
675.0000,8.6115e+05,7.8889e+05,8.4183e+05,9.8235e+05,355xpa
682.5000,8.5772e+05,7.8513e+05,8.3558e+05,9.6360e+05,355xpa
690.0000,8.4685e+05,7.7211e+05,8.3889e+05,9.5293e+05,355xpa
697.5000,8.4434e+05,7.7512e+05,8.3059e+05,9.5629e+05,355xpa
705.0000,8.3145e+05,7.5198e+05,8.2742e+05,9.4794e+05,355xpa
712.5000,8.2494e+05,7.5857e+05,8.2334e+05,9.4289e+05,355xpa
720.0000,8.2545e+05,7.6148e+05,8.1429e+05,9.4879e+05,355xpa
727.5000,8.3412e+05,7.5549e+05,8.1951e+05,9.3611e+05,355xpa
735.0000,8.2973e+05,7.6284e+05,8.0511e+05,9.3552e+05,355xpa
742.5000,8.1378e+05,7.5360e+05,8.0236e+05,9.4473e+05,355xpa
750.0000,8.0960e+05,7.4180e+05,7.9220e+05,9.2634e+05,355xpa
757.5000,8.1032e+05,7.4788e+05,8.0058e+05,9.2007e+05,355xpa
765.0000,8.0927e+05,7.4309e+05,8.0606e+05,9.2345e+05,355xpa
772.5000,7.9836e+05,7.4036e+05,7.9785e+05,9.1287e+05,355xpa
780.0000,7.9938e+05,7.2416e+05,7.8573e+05,9.2093e+05,355xpa
787.5000,7.8862e+05,7.3833e+05,7.9135e+05,9.0127e+05,355xpa
795.0000,7.8897e+05,7.2206e+05,7.8163e+05,8.9684e+05,355xpa
802.5000,7.8776e+05,7.1550e+05,7.8073e+05,8.9564e+05,355xpa
810.0000,7.8988e+05,7.2705e+05,7.7049e+05,9.0239e+05,355xpa
817.5000,7.9730e+05,7.2334e+05,7.7849e+05,9.0715e+05,355xpa
825.0000,7.8232e+05,7.2269e+05,7.7328e+05,8.8898e+05,355xpa
832.5000,7.7274e+05,7.2300e+05,7.7131e+05,8.7623e+05,355xpa
840.0000,7.7762e+05,7.1011e+05,7.6012e+05,9.0010e+05,355xpa
847.5000,7.7995e+05,7.0654e+05,7.5167e+05,8.9027e+05,355xpa
855.0000,7.7519e+05,7.0449e+05,7.5807e+05,8.8809e+05,355xpa
862.5000,7.6692e+05,7.0949e+05,7.6253e+05,8.9882e+05,355xpa
870.0000,7.5282e+05,7.0675e+05,7.6980e+05,8.8479e+05,355xpa
877.5000,7.6105e+05,7.0735e+05,7.5829e+05,8.8759e+05,355xpa
885.0000,7.6337e+05,7.0718e+05,7.5227e+05,8.5590e+05,355xpa
892.5000,7.5717e+05,6.9692e+05,7.4162e+05,8.7897e+05,355xpa
900.0000,7.5191e+05,7.0280e+05,7.4261e+05,8.7682e+05,355xpa
907.5000,7.4035e+05,6.8998e+05,7.2718e+05,8.6740e+05,355xpa
915.0000,7.5843e+05,6.8946e+05,7.4371e+05,8.5210e+05,355xpa
922.5000,7.4634e+05,6.9143e+05,7.4147e+05,8.7310e+05,355xpa
930.0000,7.4373e+05,6.8895e+05,7.4223e+05,8.4987e+05,355xpa
937.5000,7.3355e+05,6.7931e+05,7.4100e+05,8.4281e+05,355xpa
945.0000,7.2639e+05,6.8780e+05,7.3602e+05,8.6083e+05,355xpa
952.5000,7.4645e+05,6.8007e+05,7.3643e+05,8.5066e+05,355xpa
960.0000,7.2499e+05,6.7130e+05,7.2980e+05,8.4983e+05,355xpa
967.5000,7.2431e+05,6.7359e+05,7.2238e+05,8.4385e+05,355xpa
975.0000,7.3252e+05,6.5633e+05,7.2486e+05,8.2296e+05,355xpa
982.5000,7.2038e+05,6.7259e+05,6.9899e+05,8.4067e+05,355xpa
990.0000,7.1950e+05,6.6682e+05,7.1269e+05,8.4638e+05,355xpa
997.5000,7.2616e+05,6.5319e+05,7.0768e+05,8.3063e+05,355xpa
1005.0000,7.0967e+05,6.5754e+05,7.0498e+05,8.3755e+05,355xpa
1012.5000,7.3569e+05,6.6537e+05,7.1738e+05,8.4506e+05,355xpa
1020.0000,7.1884e+05,6.5245e+05,7.0665e+05,8.3859e+05,355xpa
1027.5000,7.0498e+05,6.5536e+05,7.0634e+05,8.2181e+05,355xpa
1035.0000,7.0958e+05,6.6812e+05,6.9825e+05,8.1766e+05,355xpa
1042.5000,7.2196e+05,6.5758e+05,6.9290e+05,8.1047e+05,355xpa
1050.0000,7.1718e+05,6.4380e+05,7.1528e+05,8.0279e+05,355xpa
1057.5000,6.9771e+05,6.3927e+05,6.8657e+05,8.0160e+05,355xpa
1065.0000,7.1398e+05,6.5298e+05,6.7951e+05,8.0851e+05,355xpa
1072.5000,7.0638e+05,6.4159e+05,6.8334e+05,7.9223e+05,355xpa
1080.0000,7.0345e+05,6.3170e+05,6.8598e+05,8.0449e+05,355xpa
1087.5000,7.0031e+05,6.5301e+05,6.9490e+05,8.0055e+05,355xpa
1095.0000,6.9809e+05,6.3572e+05,6.9314e+05,7.8851e+05,355xpa
1102.5000,6.8899e+05,6.2979e+05,6.8734e+05,8.0446e+05,355xpa
1110.0000,7.0015e+05,6.3647e+05,6.9435e+05,8.0012e+05,355xpa
1117.5000,7.0752e+05,6.3689e+05,6.7545e+05,8.0932e+05,355xpa
1125.0000,7.1615e+05,6.4084e+05,6.7181e+05,7.7891e+05,355xpa
1132.5000,6.9944e+05,6.3402e+05,6.9431e+05,8.0224e+05,355xpa
1140.0000,6.8627e+05,6.2928e+05,6.6496e+05,7.6780e+05,355xpa
1147.5000,6.7106e+05,6.2750e+05,6.6477e+05,7.7830e+05,355xpa
1155.0000,6.8090e+05,6.2176e+05,6.6512e+05,7.8109e+05,355xpa
1162.5000,6.7933e+05,6.2538e+05,6.7429e+05,7.7226e+05,355xpa
1170.0000,6.7378e+05,6.2076e+05,6.7504e+05,7.5762e+05,355xpa
1177.5000,6.7423e+05,6.2889e+05,6.7188e+05,7.6018e+05,355xpa
1185.0000,6.8575e+05,6.1394e+05,6.7718e+05,7.6185e+05,355xpa
1192.5000,6.8901e+05,5.9783e+05,6.6974e+05,7.6931e+05,355xpa
1200.0000,6.8170e+05,6.1792e+05,6.5203e+05,7.7970e+05,355xpa
1207.5000,6.9311e+05,6.1880e+05,6.5848e+05,7.6532e+05,355xpa
1215.0000,6.5958e+05,6.1945e+05,6.7244e+05,7.6059e+05,355xpa
1222.5000,6.8162e+05,5.9699e+05,6.4825e+05,7.6697e+05,355xpa
1230.0000,6.5914e+05,6.0798e+05,6.6233e+05,7.5283e+05,355xpa
1237.5000,6.4785e+05,6.1858e+05,6.6830e+05,7.6837e+05,355xpa
1245.0000,6.5946e+05,5.9227e+05,6.3036e+05,7.6416e+05,355xpa
1252.5000,6.4451e+05,6.0023e+05,6.2612e+05,7.5947e+05,355xpa
1260.0000,6.6167e+05,5.9420e+05,6.4123e+05,7.4309e+05,355xpa
1267.5000,6.4779e+05,5.9672e+05,6.4143e+05,7.4368e+05,355xpa
1275.0000,6.3256e+05,6.0717e+05,6.2871e+05,7.3593e+05,355xpa
1282.5000,6.4365e+05,5.9192e+05,6.4081e+05,7.4974e+05,355xpa
1290.0000,6.5430e+05,5.9340e+05,6.4286e+05,7.6299e+05,355xpa
1297.5000,6.6245e+05,6.1224e+05,6.3581e+05,7.5397e+05,355xpa
1305.0000,6.5368e+05,5.9268e+05,6.4618e+05,7.3472e+05,355xpa
1312.5000,6.1743e+05,5.8672e+05,6.5509e+05,7.4967e+05,355xpa
1320.0000,6.2025e+05,5.9061e+05,6.4163e+05,7.3671e+05,355xpa
1327.5000,6.3610e+05,5.8444e+05,6.2834e+05,7.2421e+05,355xpa
1335.0000,6.1535e+05,5.7603e+05,6.2097e+05,7.3241e+05,355xpa
1342.5000,6.3138e+05,5.9082e+05,6.2919e+05,7.3224e+05,355xpa
1350.0000,6.3018e+05,5.7058e+05,6.3321e+05,7.5063e+05,355xpa
1357.5000,6.2384e+05,5.7138e+05,6.3995e+05,7.3389e+05,355xpa
1365.0000,6.3283e+05,5.7708e+05,6.4837e+05,7.1626e+05,355xpa
1372.5000,6.2027e+05,5.4667e+05,6.1210e+05,7.2575e+05,355xpa
1380.0000,6.3230e+05,5.6485e+05,5.9480e+05,7.1673e+05,355xpa
1387.5000,6.2633e+05,5.7884e+05,6.0161e+05,7.1743e+05,355xpa
1395.0000,6.0628e+05,5.6487e+05,6.0451e+05,6.9388e+05,355xpa
1402.5000,6.2295e+05,5.5203e+05,5.9969e+05,7.1009e+05,355xpa
1410.0000,6.3219e+05,5.7641e+05,6.0269e+05,6.9366e+05,355xpa
1417.5000,6.0326e+05,5.6907e+05,5.9482e+05,7.0371e+05,355xpa
1425.0000,6.2631e+05,5.6197e+05,5.8654e+05,7.1957e+05,355xpa
1432.5000,6.1908e+05,5.4662e+05,5.7562e+05,6.7995e+05,355xpa
1440.0000,6.2228e+05,5.4540e+05,5.9178e+05,6.7739e+05,355xpa
1447.5000,6.0243e+05,5.6466e+05,6.1344e+05,6.8354e+05,355xpa
1455.0000,6.0302e+05,5.6213e+05,5.9772e+05,6.9208e+05,355xpa
1462.5000,6.1694e+05,5.4446e+05,6.0781e+05,7.1308e+05,355xpa
1470.0000,6.2211e+05,5.5101e+05,6.0344e+05,6.8848e+05,355xpa
1477.5000,5.9881e+05,5.4266e+05,5.8528e+05,6.8776e+05,355xpa
1485.0000,6.0401e+05,5.4961e+05,5.7315e+05,6.8878e+05,355xpa
1492.5000,5.9208e+05,5.6529e+05,5.9164e+05,6.7228e+05,355xpa
1500.0000,6.0385e+05,5.3850e+05,5.9180e+05,6.5922e+05,355xpa
1507.5000,5.8687e+05,5.6146e+05,6.0844e+05,6.7615e+05,355xpa
1515.0000,5.9996e+05,5.3921e+05,5.7959e+05,6.6897e+05,355xpa
1522.5000,5.7135e+05,5.4912e+05,5.8903e+05,6.7499e+05,355xpa
1530.0000,5.7810e+05,5.3788e+05,5.7565e+05,6.7896e+05,355xpa
1537.5000,5.9068e+05,5.4870e+05,5.8259e+05,6.7722e+05,355xpa
1545.0000,5.7914e+05,5.3255e+05,5.8926e+05,6.8069e+05,355xpa
1552.5000,5.7285e+05,5.1461e+05,5.8552e+05,6.8502e+05,355xpa
1560.0000,5.9580e+05,5.4088e+05,5.7305e+05,6.8118e+05,355xpa
1567.5000,5.8239e+05,5.2669e+05,5.7757e+05,6.6635e+05,355xpa
1575.0000,5.8092e+05,5.2426e+05,5.6949e+05,6.5568e+05,355xpa
1582.5000,5.8451e+05,5.3809e+05,5.9623e+05,6.5387e+05,355xpa
1590.0000,5.6539e+05,5.0893e+05,5.8356e+05,6.7242e+05,355xpa
1597.5000,5.8112e+05,5.2819e+05,5.5950e+05,6.2957e+05,355xpa
1605.0000,5.6502e+05,5.2460e+05,5.5385e+05,6.4623e+05,355xpa
1612.5000,5.6424e+05,5.5340e+05,5.5984e+05,6.7811e+05,355xpa
1620.0000,5.7385e+05,5.2530e+05,5.5100e+05,6.7056e+05,355xpa
1627.5000,5.8349e+05,5.1186e+05,5.5576e+05,6.5874e+05,355xpa
1635.0000,5.5554e+05,5.2057e+05,5.4422e+05,6.4118e+05,355xpa
1642.5000,5.4566e+05,5.2582e+05,5.6111e+05,6.4771e+05,355xpa
1650.0000,5.8340e+05,5.3331e+05,5.6717e+05,6.7182e+05,355xpa
1657.5000,5.8574e+05,4.9320e+05,5.7969e+05,6.6258e+05,355xpa
1665.0000,5.4671e+05,5.2163e+05,5.8016e+05,6.4782e+05,355xpa
1672.5000,5.9535e+05,5.2719e+05,5.5108e+05,6.3083e+05,355xpa
1680.0000,5.6292e+05,5.1309e+05,5.6503e+05,6.3870e+05,355xpa
1687.5000,5.6516e+05,5.3003e+05,5.4442e+05,6.2878e+05,355xpa
1695.0000,5.7389e+05,5.5296e+05,5.2015e+05,6.3526e+05,355xpa
1702.5000,5.5786e+05,5.2005e+05,5.6366e+05,6.3500e+05,355xpa
1710.0000,5.5278e+05,5.2692e+05,5.4991e+05,6.2852e+05,355xpa
1717.5000,5.5724e+05,5.2485e+05,5.2196e+05,6.3224e+05,355xpa
1725.0000,5.5939e+05,4.9657e+05,5.0414e+05,6.3102e+05,355xpa
1732.5000,5.7281e+05,4.8442e+05,5.2369e+05,6.3988e+05,355xpa
1740.0000,5.4587e+05,4.9314e+05,5.4250e+05,6.3240e+05,355xpa
1747.5000,5.5256e+05,5.1344e+05,5.6012e+05,6.4117e+05,355xpa
1755.0000,5.5157e+05,4.9395e+05,5.6953e+05,6.3562e+05,355xpa
1762.5000,5.3008e+05,4.9966e+05,5.5114e+05,6.3738e+05,355xpa
1770.0000,5.4522e+05,5.3704e+05,5.5149e+05,6.2806e+05,355xpa
1777.5000,5.3604e+05,5.3754e+05,5.4065e+05,6.4967e+05,355xpa
1785.0000,5.4003e+05,5.0818e+05,5.3561e+05,6.4717e+05,355xpa
1792.5000,5.4621e+05,4.9994e+05,5.5101e+05,6.0929e+05,355xpa
1800.0000,5.5288e+05,4.8447e+05,5.3488e+05,6.2044e+05,355xpa
1807.5000,5.4299e+05,5.0291e+05,5.2706e+05,6.1477e+05,355xpa
1815.0000,5.3467e+05,5.0319e+05,5.4182e+05,6.4310e+05,355xpa
1822.5000,5.2255e+05,4.7685e+05,5.4079e+05,6.2535e+05,355xpa
1830.0000,5.4320e+05,4.9372e+05,5.2823e+05,6.2404e+05,355xpa
1837.5000,5.6036e+05,5.0041e+05,5.1335e+05,6.3569e+05,355xpa
1845.0000,5.2169e+05,4.7728e+05,5.2504e+05,5.9844e+05,355xpa
1852.5000,5.3664e+05,4.8617e+05,5.1722e+05,5.8947e+05,355xpa
1860.0000,5.4228e+05,4.6150e+05,5.2459e+05,5.8898e+05,355xpa
1867.5000,5.4773e+05,4.6949e+05,5.2682e+05,5.8700e+05,355xpa
1875.0000,4.9554e+05,4.9257e+05,5.3773e+05,6.1174e+05,355xpa
1882.5000,5.2161e+05,4.9820e+05,5.2643e+05,5.9995e+05,355xpa
1890.0000,5.0677e+05,4.9322e+05,5.1162e+05,5.9917e+05,355xpa
1897.5000,5.2862e+05,4.7420e+05,5.1960e+05,6.1431e+05,355xpa
1905.0000,5.0341e+05,4.9837e+05,4.9014e+05,6.2262e+05,355xpa
1912.5000,5.3131e+05,4.6326e+05,5.3144e+05,6.1923e+05,355xpa
1920.0000,5.3273e+05,4.6815e+05,5.2262e+05,6.0723e+05,355xpa
1927.5000,5.2255e+05,4.5368e+05,4.8668e+05,5.7547e+05,355xpa
1935.0000,5.2739e+05,4.6839e+05,5.2904e+05,6.1180e+05,355xpa
1942.5000,5.2624e+05,4.7126e+05,5.3430e+05,6.3880e+05,355xpa
1950.0000,5.3340e+05,4.5776e+05,5.0558e+05,6.1282e+05,355xpa
1957.5000,5.3583e+05,4.7597e+05,5.1233e+05,6.1027e+05,355xpa
1965.0000,5.1639e+05,4.6182e+05,5.0135e+05,5.7557e+05,355xpa
1972.5000,5.2798e+05,4.4676e+05,5.0281e+05,5.8933e+05,355xpa
1980.0000,4.9202e+05,4.6266e+05,5.0319e+05,5.8386e+05,355xpa
1987.5000,5.1034e+05,4.5948e+05,4.9429e+05,5.6768e+05,355xpa
1995.0000,5.2081e+05,4.4636e+05,4.9816e+05,5.8195e+05,355xpa
2002.5000,5.1291e+05,4.6413e+05,4.8928e+05,5.9598e+05,355xpa
2010.0000,5.0896e+05,4.5912e+05,4.9719e+05,5.8211e+05,355xpa
2017.5000,4.9207e+05,4.8283e+05,4.8808e+05,6.1460e+05,355xpa
2025.0000,5.1533e+05,4.6239e+05,5.1214e+05,5.7874e+05,355xpa
