station ID = gr (Granada)
system = VELETA
signal = 355, perpendicular, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
562.5000,4.1990e+07,4.5954e+07,3.3970e+07,4.2798e+07,355xsp
570.0000,4.1659e+07,4.6383e+07,3.4498e+07,4.2895e+07,355xsp
577.5000,4.2226e+07,4.6545e+07,3.4415e+07,4.3165e+07,355xsp
585.0000,4.2911e+07,4.6698e+07,3.4060e+07,4.3468e+07,355xsp
592.5000,4.2329e+07,4.6779e+07,3.3952e+07,4.3745e+07,355xsp
600.0000,4.3120e+07,4.7342e+07,3.3537e+07,4.3288e+07,355xsp
607.5000,4.2901e+07,4.7573e+07,3.4046e+07,4.3531e+07,355xsp
615.0000,4.2567e+07,4.7463e+07,3.4118e+07,4.3794e+07,355xsp
622.5000,4.3513e+07,4.8682e+07,3.3209e+07,4.3357e+07,355xsp
630.0000,4.2769e+07,4.8491e+07,3.3347e+07,4.4335e+07,355xsp
637.5000,4.3669e+07,4.8266e+07,3.3566e+07,4.3855e+07,355xsp
645.0000,4.3807e+07,4.8296e+07,3.4133e+07,4.3739e+07,355xsp
652.5000,4.3851e+07,4.8430e+07,3.3537e+07,4.4082e+07,355xsp
660.0000,4.3565e+07,4.8677e+07,3.3638e+07,4.3838e+07,355xsp
667.5000,4.3779e+07,4.8048e+07,3.3356e+07,4.4447e+07,355xsp
675.0000,4.2950e+07,4.8480e+07,3.3777e+07,4.4544e+07,355xsp
682.5000,4.4168e+07,4.8380e+07,3.3527e+07,4.4115e+07,355xsp
690.0000,4.3931e+07,4.8716e+07,3.3608e+07,4.3401e+07,355xsp
697.5000,4.3577e+07,4.8818e+07,3.3500e+07,4.3402e+07,355xsp
705.0000,4.3864e+07,4.9059e+07,3.3921e+07,4.3011e+07,355xsp
712.5000,4.4552e+07,4.8749e+07,3.3077e+07,4.3348e+07,355xsp
720.0000,4.3925e+07,4.8728e+07,3.3337e+07,4.3779e+07,355xsp
727.5000,4.4024e+07,4.8919e+07,3.3868e+07,4.3316e+07,355xsp
735.0000,4.3451e+07,4.9532e+07,3.2860e+07,4.3128e+07,355xsp
742.5000,4.3429e+07,5.0011e+07,3.3426e+07,4.2770e+07,355xsp
750.0000,4.3568e+07,4.8494e+07,3.3368e+07,4.3308e+07,355xsp
757.5000,4.3229e+07,4.8631e+07,3.2977e+07,4.2727e+07,355xsp
765.0000,4.3218e+07,4.8774e+07,3.2769e+07,4.2737e+07,355xsp
772.5000,4.3144e+07,4.8540e+07,3.3164e+07,4.3318e+07,355xsp
780.0000,4.3624e+07,4.9063e+07,3.2781e+07,4.3068e+07,355xsp
787.5000,4.4148e+07,4.9647e+07,3.2193e+07,4.3797e+07,355xsp
795.0000,4.3539e+07,4.9166e+07,3.2975e+07,4.3942e+07,355xsp
802.5000,4.3397e+07,4.9485e+07,3.2395e+07,4.3141e+07,355xsp
810.0000,4.3302e+07,4.8686e+07,3.2682e+07,4.4011e+07,355xsp
817.5000,4.3056e+07,4.9615e+07,3.2784e+07,4.2833e+07,355xsp
825.0000,4.2827e+07,4.9269e+07,3.1870e+07,4.3137e+07,355xsp
832.5000,4.3003e+07,4.8511e+07,3.3183e+07,4.2709e+07,355xsp
840.0000,4.2975e+07,4.8408e+07,3.2235e+07,4.2803e+07,355xsp
847.5000,4.3081e+07,4.8499e+07,3.1807e+07,4.3259e+07,355xsp
855.0000,4.2638e+07,4.9210e+07,3.2445e+07,4.3410e+07,355xsp
862.5000,4.2427e+07,4.9089e+07,3.2119e+07,4.2650e+07,355xsp
870.0000,4.2823e+07,4.9255e+07,3.2006e+07,4.2342e+07,355xsp
877.5000,4.2407e+07,4.8255e+07,3.1417e+07,4.1679e+07,355xsp
