station ID = gr (Granada)
system = VELETA
signal = 387, total, analog, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
525.0000,-1.1206e-01,-5.3694e-02,-1.1906e-01,-1.4007e-01,387xta
532.5000,-1.1528e-01,-5.5240e-02,-1.2249e-01,-1.4410e-01,387xta
540.0000,-1.1855e-01,-5.6807e-02,-1.2596e-01,-1.4819e-01,387xta
547.5000,-1.2187e-01,-5.8396e-02,-1.2949e-01,-1.5234e-01,387xta
555.0000,-1.2523e-01,-6.0006e-02,-1.3306e-01,-1.5654e-01,387xta
562.5000,-1.2864e-01,-6.1639e-02,-1.3668e-01,-1.6080e-01,387xta
570.0000,-1.3209e-01,-6.3294e-02,-1.4035e-01,-1.6511e-01,387xta
577.5000,-1.3559e-01,-6.4970e-02,-1.4406e-01,-1.6949e-01,387xta
585.0000,-1.3913e-01,-6.6669e-02,-1.4783e-01,-1.7392e-01,387xta
592.5000,-1.4273e-01,-6.8389e-02,-1.5165e-01,-1.7841e-01,387xta
600.0000,-1.4636e-01,-7.0132e-02,-1.5551e-01,-1.8295e-01,387xta
607.5000,-1.5004e-01,-7.1896e-02,-1.5942e-01,-1.8755e-01,387xta
615.0000,-1.5377e-01,-7.3682e-02,-1.6338e-01,-1.9221e-01,387xta
622.5000,-1.5754e-01,-7.5490e-02,-1.6739e-01,-1.9693e-01,387xta
630.0000,-1.6136e-01,-7.7320e-02,-1.7145e-01,-2.0170e-01,387xta
637.5000,-1.6523e-01,-7.9172e-02,-1.7556e-01,-2.0654e-01,387xta
645.0000,-1.6914e-01,-8.1046e-02,-1.7971e-01,-2.1142e-01,387xta
652.5000,-1.7310e-01,-8.2942e-02,-1.8391e-01,-2.1637e-01,387xta
660.0000,-1.7710e-01,-8.4859e-02,-1.8817e-01,-2.2137e-01,387xta
667.5000,-1.8115e-01,-8.6799e-02,-1.9247e-01,-2.2643e-01,387xta
675.0000,-1.8524e-01,-8.8760e-02,-1.9682e-01,-2.3155e-01,387xta
682.5000,-1.8938e-01,-9.0744e-02,-2.0121e-01,-2.3672e-01,387xta
690.0000,-1.9356e-01,-9.2749e-02,-2.0566e-01,-2.4195e-01,387xta
697.5000,-1.9779e-01,-9.4776e-02,-2.1016e-01,-2.4724e-01,387xta
705.0000,-2.0207e-01,-9.6825e-02,-2.1470e-01,-2.5259e-01,387xta
712.5000,-2.0639e-01,-9.8896e-02,-2.1929e-01,-2.5799e-01,387xta
720.0000,-2.1076e-01,-1.0099e-01,-2.2393e-01,-2.6345e-01,387xta
727.5000,-2.1517e-01,-1.0310e-01,-2.2862e-01,-2.6897e-01,387xta
735.0000,-2.1963e-01,-1.0524e-01,-2.3336e-01,-2.7454e-01,387xta
742.5000,-2.2414e-01,-1.0740e-01,-2.3815e-01,-2.8017e-01,387xta
750.0000,-2.2869e-01,-1.0958e-01,-2.4298e-01,-2.8586e-01,387xta
757.5000,-2.3329e-01,-1.1178e-01,-2.4787e-01,-2.9161e-01,387xta
765.0000,-2.3793e-01,-1.1401e-01,-2.5280e-01,-2.9741e-01,387xta
772.5000,-2.4262e-01,-1.1625e-01,-2.5778e-01,-3.0327e-01,387xta
780.0000,-2.4735e-01,-1.1852e-01,-2.6281e-01,-3.0919e-01,387xta
787.5000,-2.5213e-01,-1.2081e-01,-2.6789e-01,-3.1516e-01,387xta
795.0000,-2.5696e-01,-1.2312e-01,-2.7302e-01,-3.2120e-01,387xta
802.5000,-2.6183e-01,-1.2546e-01,-2.7819e-01,-3.2728e-01,387xta
810.0000,-2.6674e-01,-1.2781e-01,-2.8342e-01,-3.3343e-01,387xta
817.5000,-2.7171e-01,-1.3019e-01,-2.8869e-01,-3.3963e-01,387xta
825.0000,-2.7671e-01,-1.3259e-01,-2.9401e-01,-3.4589e-01,387xta
832.5000,-2.8177e-01,-1.3501e-01,-2.9938e-01,-3.5221e-01,387xta
840.0000,-2.8687e-01,-1.3746e-01,-3.0480e-01,-3.5859e-01,387xta
847.5000,-2.9201e-01,-1.3992e-01,-3.1027e-01,-3.6502e-01,387xta
855.0000,-2.9721e-01,-1.4241e-01,-3.1578e-01,-3.7151e-01,387xta
862.5000,-3.0244e-01,-1.4492e-01,-3.2135e-01,-3.7805e-01,387xta
870.0000,-3.0773e-01,-1.4745e-01,-3.2696e-01,-3.8466e-01,387xta
877.5000,-3.1305e-01,-1.5000e-01,-3.3262e-01,-3.9132e-01,387xta
885.0000,-3.1843e-01,-1.5258e-01,-3.3833e-01,-3.9803e-01,387xta
892.5000,-3.2385e-01,-1.5518e-01,-3.4409e-01,-4.0481e-01,387xta
900.0000,-3.2931e-01,-1.5780e-01,-3.4990e-01,-4.1164e-01,387xta
907.5000,-3.3482e-01,-1.6044e-01,-3.5575e-01,-4.1853e-01,387xta
915.0000,-3.4038e-01,-1.6310e-01,-3.6166e-01,-4.2548e-01,387xta
922.5000,-3.4599e-01,-1.6578e-01,-3.6761e-01,-4.3248e-01,387xta
930.0000,-3.5163e-01,-1.6849e-01,-3.7361e-01,-4.3954e-01,387xta
937.5000,-3.5733e-01,-1.7122e-01,-3.7966e-01,-4.4666e-01,387xta
945.0000,-3.6307e-01,-1.7397e-01,-3.8576e-01,-4.5384e-01,387xta
952.5000,-3.6885e-01,-1.7674e-01,-3.9191e-01,-4.6107e-01,387xta
960.0000,-3.7469e-01,-1.7954e-01,-3.9810e-01,-4.6836e-01,387xta
967.5000,-3.8056e-01,-1.8235e-01,-4.0435e-01,-4.7570e-01,387xta
975.0000,-3.8649e-01,-1.8519e-01,-4.1064e-01,-4.8311e-01,387xta
982.5000,-3.9245e-01,-1.8805e-01,-4.1698e-01,-4.9057e-01,387xta
990.0000,-3.9847e-01,-1.9093e-01,-4.2337e-01,-4.9809e-01,387xta
997.5000,-4.0453e-01,-1.9384e-01,-4.2981e-01,-5.0566e-01,387xta
1005.0000,-4.1064e-01,-1.9676e-01,-4.3630e-01,-5.1329e-01,387xta
1012.5000,-4.1679e-01,-1.9971e-01,-4.4284e-01,-5.2098e-01,387xta
1020.0000,-4.2298e-01,-2.0268e-01,-4.4942e-01,-5.2873e-01,387xta
1027.5000,-4.2923e-01,-2.0567e-01,-4.5605e-01,-5.3654e-01,387xta
1035.0000,-4.3552e-01,-2.0869e-01,-4.6274e-01,-5.4440e-01,387xta
1042.5000,-4.4185e-01,-2.1172e-01,-4.6947e-01,-5.5231e-01,387xta
1050.0000,-4.4823e-01,-2.1478e-01,-4.7625e-01,-5.6029e-01,387xta
1057.5000,-4.5466e-01,-2.1786e-01,-4.8307e-01,-5.6832e-01,387xta
1065.0000,-4.6113e-01,-2.2096e-01,-4.8995e-01,-5.7641e-01,387xta
1072.5000,-4.6765e-01,-2.2408e-01,-4.9688e-01,-5.8456e-01,387xta
1080.0000,-4.7421e-01,-2.2723e-01,-5.0385e-01,-5.9276e-01,387xta
1087.5000,-4.8082e-01,-2.3039e-01,-5.1087e-01,-6.0103e-01,387xta
1095.0000,-4.8748e-01,-2.3358e-01,-5.1794e-01,-6.0934e-01,387xta
1102.5000,-4.9418e-01,-2.3679e-01,-5.2506e-01,-6.1772e-01,387xta
1110.0000,-5.0092e-01,-2.4003e-01,-5.3223e-01,-6.2615e-01,387xta
1117.5000,-5.0771e-01,-2.4328e-01,-5.3945e-01,-6.3464e-01,387xta
1125.0000,-5.1455e-01,-2.4656e-01,-5.4671e-01,-6.4319e-01,387xta
1132.5000,-5.2144e-01,-2.4985e-01,-5.5403e-01,-6.5179e-01,387xta
1140.0000,-5.2837e-01,-2.5318e-01,-5.6139e-01,-6.6046e-01,387xta
1147.5000,-5.3534e-01,-2.5652e-01,-5.6880e-01,-6.6918e-01,387xta
