station ID = gr (Granada)
system = VELETA
signal = 355, parallel, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
562.5000,3.3907e+07,3.2574e+07,3.3614e+07,3.8930e+07,355xpp
570.0000,3.3516e+07,3.2517e+07,3.3606e+07,3.9519e+07,355xpp
577.5000,3.3713e+07,3.2457e+07,3.4045e+07,3.8826e+07,355xpp
585.0000,3.4354e+07,3.2917e+07,3.3357e+07,3.9626e+07,355xpp
592.5000,3.4317e+07,3.3178e+07,3.4065e+07,3.9549e+07,355xpp
600.0000,3.4504e+07,3.2925e+07,3.3133e+07,3.9681e+07,355xpp
607.5000,3.4198e+07,3.3243e+07,3.3805e+07,3.9562e+07,355xpp
615.0000,3.4610e+07,3.3325e+07,3.3748e+07,3.9769e+07,355xpp
622.5000,3.4381e+07,3.2898e+07,3.3800e+07,3.9134e+07,355xpp
630.0000,3.3851e+07,3.2705e+07,3.3704e+07,3.9194e+07,355xpp
637.5000,3.4247e+07,3.2488e+07,3.3749e+07,3.9837e+07,355xpp
645.0000,3.4209e+07,3.2451e+07,3.3552e+07,3.8971e+07,355xpp
652.5000,3.4090e+07,3.2389e+07,3.3590e+07,3.9935e+07,355xpp
660.0000,3.4232e+07,3.3218e+07,3.3592e+07,3.9982e+07,355xpp
667.5000,3.4436e+07,3.2670e+07,3.3433e+07,3.9277e+07,355xpp
675.0000,3.4146e+07,3.2731e+07,3.2728e+07,3.9277e+07,355xpp
682.5000,3.3565e+07,3.2570e+07,3.3137e+07,3.9589e+07,355xpp
690.0000,3.3993e+07,3.2451e+07,3.2810e+07,3.9527e+07,355xpp
697.5000,3.3904e+07,3.2235e+07,3.3473e+07,3.9203e+07,355xpp
705.0000,3.3568e+07,3.2275e+07,3.3062e+07,3.8971e+07,355xpp
712.5000,3.3600e+07,3.1924e+07,3.3038e+07,3.9793e+07,355xpp
720.0000,3.3667e+07,3.2283e+07,3.2605e+07,3.9031e+07,355xpp
727.5000,3.3443e+07,3.2359e+07,3.2864e+07,3.8828e+07,355xpp
735.0000,3.3303e+07,3.1738e+07,3.2682e+07,3.8494e+07,355xpp
742.5000,3.3705e+07,3.2337e+07,3.2628e+07,3.8973e+07,355xpp
750.0000,3.3397e+07,3.2180e+07,3.2877e+07,3.9557e+07,355xpp
757.5000,3.4025e+07,3.1965e+07,3.2660e+07,3.8974e+07,355xpp
765.0000,3.3421e+07,3.2397e+07,3.2712e+07,3.8280e+07,355xpp
772.5000,3.3261e+07,3.1927e+07,3.2550e+07,3.8991e+07,355xpp
780.0000,3.3241e+07,3.1491e+07,3.2487e+07,3.9758e+07,355xpp
787.5000,3.3592e+07,3.1463e+07,3.2615e+07,3.8471e+07,355xpp
795.0000,3.3348e+07,3.1531e+07,3.1976e+07,3.9587e+07,355xpp
802.5000,3.2452e+07,3.1758e+07,3.2831e+07,3.8922e+07,355xpp
810.0000,3.2920e+07,3.2185e+07,3.2800e+07,3.9120e+07,355xpp
817.5000,3.2812e+07,3.1948e+07,3.2081e+07,3.8365e+07,355xpp
825.0000,3.3154e+07,3.1603e+07,3.1886e+07,3.8339e+07,355xpp
832.5000,3.2713e+07,3.1633e+07,3.2275e+07,3.8934e+07,355xpp
840.0000,3.2479e+07,3.1563e+07,3.1224e+07,3.8991e+07,355xpp
847.5000,3.2615e+07,3.0969e+07,3.2152e+07,3.7804e+07,355xpp
855.0000,3.2930e+07,3.1472e+07,3.2030e+07,3.8585e+07,355xpp
862.5000,3.2423e+07,3.1370e+07,3.1548e+07,3.8198e+07,355xpp
870.0000,3.2448e+07,3.1372e+07,3.2385e+07,3.7925e+07,355xpp
877.5000,3.1747e+07,3.1622e+07,3.1860e+07,3.8080e+07,355xpp
885.0000,3.2364e+07,3.1821e+07,3.1982e+07,3.8396e+07,355xpp
892.5000,3.2448e+07,3.0877e+07,3.1441e+07,3.7759e+07,355xpp
900.0000,3.2132e+07,3.1039e+07,3.2301e+07,3.7937e+07,355xpp
907.5000,3.2126e+07,3.0807e+07,3.1491e+07,3.8280e+07,355xpp
915.0000,3.1644e+07,3.0215e+07,3.0949e+07,3.7195e+07,355xpp
922.5000,3.2170e+07,3.0973e+07,3.1622e+07,3.8544e+07,355xpp
930.0000,3.1411e+07,3.0792e+07,3.1265e+07,3.7091e+07,355xpp
937.5000,3.1567e+07,2.9769e+07,3.1130e+07,3.7128e+07,355xpp
945.0000,3.1972e+07,3.0947e+07,3.1361e+07,3.8304e+07,355xpp
952.5000,3.2092e+07,3.0288e+07,3.0957e+07,3.8268e+07,355xpp
960.0000,3.1596e+07,3.0188e+07,3.0786e+07,3.7043e+07,355xpp
967.5000,3.1571e+07,3.0609e+07,3.0951e+07,3.7856e+07,355xpp
975.0000,3.1913e+07,3.0645e+07,3.0404e+07,3.7150e+07,355xpp
982.5000,3.1899e+07,3.0265e+07,3.1091e+07,3.6656e+07,355xpp
990.0000,3.1570e+07,2.9760e+07,3.0668e+07,3.6474e+07,355xpp
997.5000,3.0689e+07,3.0366e+07,3.0373e+07,3.7468e+07,355xpp
1005.0000,3.2159e+07,3.0503e+07,3.0825e+07,3.5989e+07,355xpp
1012.5000,3.1274e+07,2.9766e+07,2.9716e+07,3.6556e+07,355xpp
1020.0000,3.1142e+07,3.0011e+07,3.1045e+07,3.7290e+07,355xpp
1027.5000,3.1423e+07,3.0426e+07,3.1090e+07,3.5876e+07,355xpp
