station ID = gr (Granada)
system = VELETA
signal = 387, total, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
562.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
570.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
577.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
585.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
592.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
600.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
607.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
615.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
622.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
630.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
637.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
645.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
652.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
660.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
667.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
675.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
682.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
690.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
697.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
705.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
712.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
720.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
727.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
735.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
742.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
750.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
757.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
765.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
772.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
780.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
787.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
795.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
802.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
810.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
817.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
825.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
832.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
840.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
847.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
855.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
862.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
870.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
877.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
885.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
892.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
900.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
907.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
915.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
922.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
930.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
937.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
945.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
952.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
960.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
967.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
975.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
982.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
990.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
997.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1005.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1012.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1020.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1027.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1035.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1042.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1050.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1057.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1065.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1072.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1080.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1087.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1095.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1102.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1110.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1117.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1125.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1132.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1140.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1147.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1155.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1162.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1170.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1177.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1185.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1192.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1200.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1207.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1215.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1222.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1230.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1237.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1245.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1252.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1260.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1267.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1275.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1282.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1290.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1297.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1305.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1312.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1320.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1327.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1335.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1342.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1350.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1357.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1365.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1372.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1380.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1387.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1395.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1402.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1410.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1417.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1425.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1432.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1440.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1447.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1455.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1462.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1470.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1477.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1485.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1492.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1500.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1507.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1515.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1522.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1530.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1537.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1545.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1552.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1560.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1567.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1575.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1582.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1590.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1597.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1605.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1612.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1620.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1627.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
1635.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
