station ID = gr (Granada)
system = KASCAL
signal = 355, parallel, analog, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
1.0950,6.4275e-06,5.2166e+05
1.1025,6.4166e-06,5.2071e+05
1.1100,6.4058e-06,5.1618e+05
1.1175,6.3951e-06,5.1388e+05
1.1250,6.3843e-06,5.1583e+05
1.1325,6.3736e-06,5.1102e+05
1.1400,6.3629e-06,5.1104e+05
1.1475,6.3522e-06,5.1152e+05
1.1550,6.3415e-06,5.1133e+05
1.1625,6.3309e-06,5.1312e+05
1.1700,6.3203e-06,5.0729e+05
1.1775,6.3097e-06,4.9874e+05
1.1850,6.2991e-06,5.0225e+05
1.1925,6.2885e-06,5.0264e+05
1.2000,6.2780e-06,4.9938e+05
1.2075,6.2675e-06,4.9766e+05
1.2150,6.2570e-06,4.9206e+05
1.2225,6.2465e-06,4.9218e+05
1.2300,6.2361e-06,4.9192e+05
1.2375,6.2256e-06,4.9495e+05
1.2450,6.2152e-06,4.9148e+05
1.2525,6.2048e-06,4.8735e+05
1.2600,6.1945e-06,4.8872e+05
1.2675,6.1841e-06,4.8617e+05
1.2750,6.1738e-06,4.7991e+05
1.2825,6.1635e-06,4.7878e+05
1.2900,6.1532e-06,4.8255e+05
1.2975,6.1429e-06,4.7774e+05
1.3050,6.1327e-06,4.7820e+05
1.3125,6.1224e-06,4.7753e+05
1.3200,6.1122e-06,4.7471e+05
1.3275,6.1021e-06,4.7211e+05
1.3350,6.0919e-06,4.7037e+05
1.3425,6.0818e-06,4.7174e+05
1.3500,6.0716e-06,4.7427e+05
1.3575,6.0615e-06,4.7037e+05
1.3650,6.0514e-06,4.6567e+05
1.3725,6.0414e-06,4.6810e+05
1.3800,6.0313e-06,4.6977e+05
1.3875,6.0213e-06,4.6585e+05
1.3950,6.0113e-06,4.6234e+05
1.4025,6.0013e-06,4.6461e+05
1.4100,5.9914e-06,4.6388e+05
1.4175,5.9814e-06,4.6101e+05
1.4250,5.9715e-06,4.6151e+05
1.4325,5.9616e-06,4.6049e+05
1.4400,5.9517e-06,4.5757e+05
1.4475,5.9419e-06,4.5254e+05
1.4550,5.9320e-06,4.6148e+05
1.4625,5.9222e-06,4.5613e+05
1.4700,5.9124e-06,4.5287e+05
1.4775,5.9026e-06,4.4952e+05
1.4850,5.8928e-06,4.4777e+05
1.4925,5.8831e-06,4.5085e+05
1.5000,5.8734e-06,4.4859e+05
1.5075,5.8637e-06,4.4677e+05
1.5150,5.8540e-06,4.4411e+05
1.5225,5.8443e-06,4.4920e+05
1.5300,5.8347e-06,4.4391e+05
1.5375,5.8250e-06,4.4445e+05
1.5450,5.8154e-06,4.4509e+05
1.5525,5.8058e-06,4.4518e+05
1.5600,5.7962e-06,4.4252e+05
1.5675,5.7867e-06,4.4162e+05
1.5750,5.7772e-06,4.3767e+05
1.5825,5.7676e-06,4.4036e+05
1.5900,5.7581e-06,4.4012e+05
1.5975,5.7487e-06,4.4116e+05
1.6050,5.7392e-06,4.3983e+05
1.6125,5.7298e-06,4.3935e+05
1.6200,5.7203e-06,4.3764e+05
1.6275,5.7109e-06,4.3419e+05
1.6350,5.7015e-06,4.3269e+05
1.6425,5.6922e-06,4.2961e+05
1.6500,5.6828e-06,4.3255e+05
1.6575,5.6735e-06,4.3530e+05
1.6650,5.6642e-06,4.3295e+05
1.6725,5.6549e-06,4.3027e+05
1.6800,5.6456e-06,4.2481e+05
1.6875,5.6363e-06,4.3028e+05
1.6950,5.6271e-06,4.3028e+05
1.7025,5.6179e-06,4.2665e+05
1.7100,5.6087e-06,4.2237e+05
1.7175,5.5995e-06,4.2521e+05
1.7250,5.5903e-06,4.2307e+05
1.7325,5.5812e-06,4.2625e+05
1.7400,5.5720e-06,4.2361e+05
1.7475,5.5629e-06,4.2446e+05
1.7550,5.5538e-06,4.2557e+05
1.7625,5.5448e-06,4.2260e+05
1.7700,5.5357e-06,4.1689e+05
1.7775,5.5267e-06,4.1818e+05
1.7850,5.5176e-06,4.1840e+05
1.7925,5.5086e-06,4.1655e+05
1.8000,5.4996e-06,4.1645e+05
1.8075,5.4907e-06,4.1453e+05
1.8150,5.4817e-06,4.1103e+05
1.8225,5.4728e-06,4.1757e+05
1.8300,5.4639e-06,4.2054e+05
1.8375,5.4550e-06,4.1746e+05
1.8450,5.4461e-06,4.1595e+05
1.8525,5.4372e-06,4.1586e+05
1.8600,5.4284e-06,4.0885e+05
1.8675,5.4195e-06,4.0853e+05
1.8750,5.4107e-06,4.1210e+05
1.8825,5.4019e-06,4.1207e+05
1.8900,5.3931e-06,4.0804e+05
1.8975,5.3844e-06,4.0559e+05
1.9050,5.3756e-06,4.0940e+05
1.9125,5.3669e-06,4.1180e+05
1.9200,5.3582e-06,4.0586e+05
1.9275,5.3495e-06,4.0979e+05
1.9350,5.3408e-06,4.0450e+05
1.9425,5.3321e-06,4.0757e+05
1.9500,5.3235e-06,4.0811e+05
1.9575,5.3149e-06,4.0493e+05
1.9650,5.3063e-06,4.0515e+05
1.9725,5.2977e-06,4.0590e+05
1.9800,5.2891e-06,4.0895e+05
1.9875,5.2805e-06,4.0703e+05
1.9950,5.2720e-06,4.0092e+05
2.0025,5.2634e-06,4.0699e+05
2.0100,5.2549e-06,4.0394e+05
2.0175,5.2464e-06,3.9778e+05
2.0250,5.2380e-06,3.9739e+05
2.0325,5.2295e-06,4.0124e+05
2.0400,5.2210e-06,3.9454e+05
2.0475,5.2126e-06,3.9161e+05
2.0550,5.2042e-06,3.9655e+05
2.0625,5.1958e-06,3.9379e+05
2.0700,5.1874e-06,3.9012e+05
2.0775,5.1791e-06,3.9265e+05
2.0850,5.1707e-06,3.9536e+05
2.0925,5.1624e-06,3.9509e+05
2.1000,5.1541e-06,3.9058e+05
2.1075,5.1458e-06,3.8826e+05
2.1150,5.1375e-06,3.8661e+05
2.1225,5.1292e-06,3.8854e+05
2.1300,5.1210e-06,3.8576e+05
2.1375,5.1127e-06,3.8055e+05
2.1450,5.1045e-06,3.8655e+05
2.1525,5.0963e-06,3.8281e+05
2.1600,5.0881e-06,3.7791e+05
2.1675,5.0799e-06,3.8150e+05
2.1750,5.0718e-06,3.7857e+05
2.1825,5.0636e-06,3.8327e+05
2.1900,5.0555e-06,3.7797e+05
2.1975,5.0474e-06,3.7665e+05
2.2050,5.0393e-06,3.7565e+05
2.2125,5.0312e-06,3.7762e+05
2.2200,5.0231e-06,3.8345e+05
2.2275,5.0151e-06,3.7852e+05
2.2350,5.0071e-06,3.7776e+05
2.2425,4.9990e-06,3.7515e+05
2.2500,4.9910e-06,3.7045e+05
2.2575,4.9831e-06,3.7281e+05
2.2650,4.9751e-06,3.6570e+05
2.2725,4.9671e-06,3.6648e+05
2.2800,4.9592e-06,3.7061e+05
2.2875,4.9513e-06,3.6651e+05
2.2950,4.9433e-06,3.7077e+05
2.3025,4.9355e-06,3.7393e+05
2.3100,4.9276e-06,3.6294e+05
2.3175,4.9197e-06,3.6419e+05
2.3250,4.9119e-06,3.6267e+05
2.3325,4.9040e-06,3.5795e+05
2.3400,4.8962e-06,3.5960e+05
2.3475,4.8884e-06,3.6261e+05
2.3550,4.8806e-06,3.6121e+05
2.3625,4.8728e-06,3.5390e+05
2.3700,4.8651e-06,3.5560e+05
2.3775,4.8573e-06,3.6159e+05
2.3850,4.8496e-06,3.5846e+05
2.3925,4.8419e-06,3.5738e+05
2.4000,4.8342e-06,3.5496e+05
2.4075,4.8265e-06,3.5258e+05
2.4150,4.8188e-06,3.5606e+05
2.4225,4.8111e-06,3.5843e+05
2.4300,4.8035e-06,3.6064e+05
2.4375,4.7959e-06,3.5324e+05
2.4450,4.7882e-06,3.5852e+05
2.4525,4.7806e-06,3.5147e+05
2.4600,4.7731e-06,3.4798e+05
2.4675,4.7655e-06,3.5281e+05
2.4750,4.7579e-06,3.4937e+05
2.4825,4.7504e-06,3.5662e+05
2.4900,4.7429e-06,3.4841e+05
2.4975,4.7353e-06,3.5378e+05
2.5050,4.7278e-06,3.5453e+05
2.5125,4.7204e-06,3.4444e+05
2.5200,4.7129e-06,3.4760e+05
2.5275,4.7054e-06,3.4453e+05
2.5350,4.6980e-06,3.4893e+05
2.5425,4.6906e-06,3.4153e+05
2.5500,4.6831e-06,3.4233e+05
2.5575,4.6757e-06,3.4182e+05
2.5650,4.6683e-06,3.4596e+05
2.5725,4.6610e-06,3.4628e+05
2.5800,4.6536e-06,3.3817e+05
2.5875,4.6463e-06,3.4154e+05
2.5950,4.6389e-06,3.3702e+05
2.6025,4.6316e-06,3.4175e+05
2.6100,4.6243e-06,3.3984e+05
2.6175,4.6170e-06,3.3458e+05
2.6250,4.6097e-06,3.3333e+05
2.6325,4.6025e-06,3.4195e+05
2.6400,4.5952e-06,3.3456e+05
2.6475,4.5880e-06,3.3601e+05
2.6550,4.5808e-06,3.3213e+05
2.6625,4.5736e-06,3.2897e+05
2.6700,4.5664e-06,3.3458e+05
2.6775,4.5592e-06,3.3448e+05
2.6850,4.5520e-06,3.3425e+05
2.6925,4.5449e-06,3.3347e+05
2.7000,4.5377e-06,3.2823e+05
2.7075,4.5306e-06,3.2431e+05
2.7150,4.5235e-06,3.2501e+05
2.7225,4.5164e-06,3.2998e+05
2.7300,4.5093e-06,3.2790e+05
2.7375,4.5022e-06,3.3082e+05
2.7450,4.4951e-06,3.2411e+05
2.7525,4.4881e-06,3.1841e+05
2.7600,4.4811e-06,3.1914e+05
2.7675,4.4740e-06,3.2566e+05
2.7750,4.4670e-06,3.2581e+05
2.7825,4.4600e-06,3.2173e+05
2.7900,4.4531e-06,3.2095e+05
2.7975,4.4461e-06,3.2002e+05
2.8050,4.4391e-06,3.1568e+05
2.8125,4.4322e-06,3.1898e+05
2.8200,4.4253e-06,3.1638e+05
2.8275,4.4183e-06,3.1825e+05
2.8350,4.4114e-06,3.2085e+05
2.8425,4.4045e-06,3.2114e+05
2.8500,4.3977e-06,3.0880e+05
2.8575,4.3908e-06,3.2219e+05
2.8650,4.3839e-06,3.1765e+05
2.8725,4.3771e-06,3.2198e+05
2.8800,4.3703e-06,3.1899e+05
2.8875,4.3635e-06,3.1902e+05
2.8950,4.3566e-06,3.1661e+05
2.9025,4.3499e-06,3.1307e+05
2.9100,4.3431e-06,3.1892e+05
2.9175,4.3363e-06,3.1456e+05
2.9250,4.3296e-06,3.1953e+05
2.9325,4.3228e-06,3.1127e+05
2.9400,4.3161e-06,3.1625e+05
2.9475,4.3094e-06,3.2020e+05
2.9550,4.3027e-06,3.1510e+05
2.9625,4.2960e-06,3.1746e+05
2.9700,4.2893e-06,3.1341e+05
2.9775,4.2826e-06,3.1181e+05
2.9850,4.2760e-06,3.1404e+05
2.9925,4.2694e-06,3.1461e+05
3.0000,4.2627e-06,3.0543e+05
3.0075,4.2561e-06,3.0935e+05
3.0150,4.2495e-06,3.1601e+05
3.0225,4.2429e-06,3.1232e+05
3.0300,4.2363e-06,3.0934e+05
3.0375,4.2298e-06,3.1061e+05
3.0450,4.2232e-06,3.0804e+05
3.0525,4.2167e-06,3.1054e+05
3.0600,4.2101e-06,3.0516e+05
3.0675,4.2036e-06,3.0469e+05
3.0750,4.1971e-06,3.0353e+05
3.0825,4.1906e-06,3.0128e+05
3.0900,4.1841e-06,2.9352e+05
3.0975,4.1777e-06,3.0482e+05
3.1050,4.1712e-06,3.0826e+05
3.1125,4.1648e-06,3.0605e+05
3.1200,4.1583e-06,3.0352e+05
3.1275,4.1519e-06,3.0358e+05
3.1350,4.1455e-06,2.9918e+05
3.1425,4.1391e-06,3.1094e+05
3.1500,4.1327e-06,3.0114e+05
3.1575,4.1263e-06,3.0219e+05
3.1650,4.1200e-06,3.0275e+05
3.1725,4.1136e-06,2.9924e+05
3.1800,4.1073e-06,2.9798e+05
3.1875,4.1009e-06,2.9575e+05
3.1950,4.0946e-06,2.9249e+05
3.2025,4.0883e-06,2.9168e+05
3.2100,4.0820e-06,2.9709e+05
3.2175,4.0757e-06,2.8935e+05
3.2250,4.0695e-06,3.0159e+05
3.2325,4.0632e-06,2.9128e+05
3.2400,4.0569e-06,2.8910e+05
3.2475,4.0507e-06,2.9096e+05
3.2550,4.0445e-06,2.9304e+05
3.2625,4.0383e-06,2.9154e+05
3.2700,4.0321e-06,2.9162e+05
3.2775,4.0259e-06,2.9785e+05
3.2850,4.0197e-06,2.9325e+05
3.2925,4.0135e-06,2.8668e+05
3.3000,4.0074e-06,2.8106e+05
3.3075,4.0012e-06,2.8684e+05
3.3150,3.9951e-06,2.8678e+05
3.3225,3.9890e-06,2.8371e+05
3.3300,3.9828e-06,2.9123e+05
3.3375,3.9767e-06,2.8501e+05
3.3450,3.9706e-06,2.8086e+05
3.3525,3.9646e-06,2.8239e+05
3.3600,3.9585e-06,2.8377e+05
3.3675,3.9524e-06,2.8749e+05
3.3750,3.9464e-06,2.8122e+05
3.3825,3.9404e-06,2.8101e+05
3.3900,3.9343e-06,2.8396e+05
3.3975,3.9283e-06,2.8646e+05
3.4050,3.9223e-06,2.8922e+05
3.4125,3.9163e-06,2.8473e+05
3.4200,3.9103e-06,2.7936e+05
3.4275,3.9044e-06,2.8707e+05
3.4350,3.8984e-06,2.8986e+05
3.4425,3.8925e-06,2.8071e+05
3.4500,3.8865e-06,2.7830e+05
3.4575,3.8806e-06,2.8495e+05
3.4650,3.8747e-06,2.8678e+05
3.4725,3.8688e-06,2.7967e+05
3.4800,3.8629e-06,2.7576e+05
3.4875,3.8570e-06,2.6514e+05
3.4950,3.8511e-06,2.7595e+05
3.5025,3.8453e-06,2.7328e+05
3.5100,3.8394e-06,2.6736e+05
3.5175,3.8336e-06,2.7822e+05
3.5250,3.8277e-06,2.7201e+05
3.5325,3.8219e-06,2.6885e+05
3.5400,3.8161e-06,2.7428e+05
3.5475,3.8103e-06,2.7791e+05
3.5550,3.8045e-06,2.6938e+05
3.5625,3.7987e-06,2.7335e+05
3.5700,3.7930e-06,2.7330e+05
3.5775,3.7872e-06,2.7639e+05
3.5850,3.7815e-06,2.8532e+05
3.5925,3.7757e-06,2.7811e+05
3.6000,3.7700e-06,2.7508e+05
3.6075,3.7643e-06,2.7447e+05
3.6150,3.7586e-06,2.7240e+05
3.6225,3.7529e-06,2.5926e+05
3.6300,3.7472e-06,2.6261e+05
3.6375,3.7415e-06,2.7057e+05
3.6450,3.7358e-06,2.6505e+05
3.6525,3.7302e-06,2.6387e+05
3.6600,3.7245e-06,2.7256e+05
3.6675,3.7189e-06,2.7692e+05
3.6750,3.7133e-06,2.6681e+05
3.6825,3.7077e-06,2.5565e+05
3.6900,3.7021e-06,2.6974e+05
3.6975,3.6965e-06,2.5597e+05
3.7050,3.6909e-06,2.6972e+05
3.7125,3.6853e-06,2.6310e+05
3.7200,3.6797e-06,2.5535e+05
3.7275,3.6742e-06,2.6624e+05
3.7350,3.6686e-06,2.6625e+05
3.7425,3.6631e-06,2.5755e+05
3.7500,3.6576e-06,2.6023e+05
3.7575,3.6521e-06,2.7534e+05
3.7650,3.6466e-06,2.6946e+05
3.7725,3.6411e-06,2.6084e+05
3.7800,3.6356e-06,2.6394e+05
3.7875,3.6301e-06,2.4885e+05
3.7950,3.6246e-06,2.5554e+05
3.8025,3.6192e-06,2.5490e+05
3.8100,3.6137e-06,2.4812e+05
3.8175,3.6083e-06,2.5306e+05
3.8250,3.6029e-06,2.6105e+05
3.8325,3.5975e-06,2.5856e+05
3.8400,3.5921e-06,2.5405e+05
3.8475,3.5867e-06,2.5716e+05
3.8550,3.5813e-06,2.6902e+05
3.8625,3.5759e-06,2.5937e+05
3.8700,3.5705e-06,2.5160e+05
3.8775,3.5652e-06,2.5777e+05
3.8850,3.5598e-06,2.5580e+05
3.8925,3.5545e-06,2.5117e+05
3.9000,3.5491e-06,2.5229e+05
3.9075,3.5438e-06,2.4681e+05
3.9150,3.5385e-06,2.4162e+05
3.9225,3.5332e-06,2.4235e+05
3.9300,3.5279e-06,2.5096e+05
3.9375,3.5226e-06,2.4624e+05
3.9450,3.5173e-06,2.4186e+05
3.9525,3.5121e-06,2.5287e+05
3.9600,3.5068e-06,2.5412e+05
3.9675,3.5016e-06,2.5061e+05
3.9750,3.4963e-06,2.4518e+05
3.9825,3.4911e-06,2.5402e+05
3.9900,3.4859e-06,2.5496e+05
3.9975,3.4807e-06,2.4877e+05
4.0050,3.4755e-06,2.4461e+05
4.0125,3.4703e-06,2.4796e+05
4.0200,3.4651e-06,2.4132e+05
4.0275,3.4599e-06,2.4814e+05
4.0350,3.4548e-06,2.4377e+05
