station ID = gr (Granada)
system = KASCAL
signal = 355, perpendicular, analog, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
1.0950,6.4275e-06,3.8090e+05
1.1025,6.4166e-06,3.7844e+05
1.1100,6.4058e-06,3.7773e+05
1.1175,6.3951e-06,3.7328e+05
1.1250,6.3843e-06,3.7196e+05
1.1325,6.3736e-06,3.6921e+05
1.1400,6.3629e-06,3.6607e+05
1.1475,6.3522e-06,3.6207e+05
1.1550,6.3415e-06,3.5908e+05
1.1625,6.3309e-06,3.5715e+05
1.1700,6.3203e-06,3.5443e+05
1.1775,6.3097e-06,3.5218e+05
1.1850,6.2991e-06,3.4829e+05
1.1925,6.2885e-06,3.4677e+05
1.2000,6.2780e-06,3.4647e+05
1.2075,6.2675e-06,3.4536e+05
1.2150,6.2570e-06,3.4653e+05
1.2225,6.2465e-06,3.4406e+05
1.2300,6.2361e-06,3.3957e+05
1.2375,6.2256e-06,3.3792e+05
1.2450,6.2152e-06,3.3992e+05
1.2525,6.2048e-06,3.3559e+05
1.2600,6.1945e-06,3.3079e+05
1.2675,6.1841e-06,3.2569e+05
1.2750,6.1738e-06,3.2501e+05
1.2825,6.1635e-06,3.2686e+05
1.2900,6.1532e-06,3.2107e+05
1.2975,6.1429e-06,3.1755e+05
1.3050,6.1327e-06,3.2364e+05
1.3125,6.1224e-06,3.1850e+05
1.3200,6.1122e-06,3.1762e+05
1.3275,6.1021e-06,3.1700e+05
1.3350,6.0919e-06,3.1357e+05
1.3425,6.0818e-06,3.1494e+05
1.3500,6.0716e-06,3.1668e+05
1.3575,6.0615e-06,3.1497e+05
1.3650,6.0514e-06,3.1211e+05
1.3725,6.0414e-06,3.1130e+05
1.3800,6.0313e-06,3.1112e+05
1.3875,6.0213e-06,3.1317e+05
